asset_unique,symb_assets,type_assets,Variance,Skewness,Kurtosis,Stable \alpha,Stable \gamma,Q_{5%},Q_{2.5%},Q_{1%},Q_{0.5%},CTE_{5%},CTE_{2.5%},CTE_{1%},CTE_{0.5%},Q_{95%},Q_{97.5%},Q_{99%},Q_{99.5%},CTE_{95%},CTE_{97.5%},CTE_{99%},CTE_{99.5%},GARCH parameter,ARCH parameter
CAFENATL_INDEX_CAFEN,CAFEN,Commodity,0.065158998,-0.075822659,729.7154284,1.326890833,0.008441461,-0.031155168,-0.04042023,-0.055543461,-0.061896476,-0.138033669,-0.238197181,-0.518995307,-1.04529475,0.032844128,0.046191633,0.064168487,0.078734987,0.143298884,0.24850535,0.537927711,1.070149563,0,0
CKEL_COMDTY_CKEL_,CKEL_,Commodity,0.000295329,-0.258786571,6.908005679,1.714583033,0.010103528,-0.02738536,-0.036215783,-0.044561694,-0.048912185,-0.039544228,-0.047928289,-0.059892697,-0.074293166,0.028525453,0.033349049,0.042328227,0.04989075,0.037940619,0.044982197,0.055716767,0.065633626,0.907922197,0.092077603
COTNMAVG_INDEX_COTNM,COTNM,Commodity,0.000151379,0.077299844,4.614959342,1.682354682,0.007246094,-0.020242949,-0.025955109,-0.032808414,-0.041086615,-0.02797939,-0.033135668,-0.039955014,-0.045003036,0.020629244,0.026100964,0.035077847,0.038206618,0.028646287,0.034292787,0.039424209,0.042181976,0.00332929,0.103261013
DIEINULP_INDEX_DIEIN,DIEIN,Commodity,0.00037908,-0.03589446,6.21978566,1.586979698,0.010417299,-0.033414279,-0.041301928,-0.054429002,-0.071402453,-0.046365076,-0.055853397,-0.07003567,-0.08068539,0.028234178,0.041555488,0.058116714,0.061976176,0.045619386,0.056365672,0.068714732,0.07904927,0.923213847,0.068639936
EUCRBRDT_INDEX_EUCRB,EUCRB,Commodity,0.000427336,0.103237046,5.390042871,1.662876533,0.011818243,-0.034341397,-0.044713923,-0.057077201,-0.068223751,-0.047604364,-0.056955816,-0.068986375,-0.077039045,0.033233506,0.04433732,0.056025917,0.067443035,0.048325203,0.058226297,0.072387909,0.087250398,0.920437068,0.077059994
HOGSNATL_INDEX_HOGSN,HOGSN,Commodity,0.000272716,0.264056544,16.03242235,1.740526179,0.009204317,-0.022120364,-0.026350549,-0.031053722,-0.038057961,-0.030986928,-0.037900475,-0.052504185,-0.073142487,0.026851279,0.035610258,0.048642635,0.057361925,0.040198707,0.050077255,0.065429695,0.080538746,0.203158869,0.372253541
LMAHDY_COMDTY_LMAHD,LMAHD,Commodity,0.00012861,0.231562637,6.032827854,1.898882596,0.007291992,-0.017418306,-0.021117913,-0.0251796,-0.030072103,-0.022835139,-0.026802216,-0.032726777,-0.038961019,0.018270172,0.023014195,0.02944694,0.03523823,0.025993833,0.031523163,0.040063961,0.049032681,0.744900374,0.103490746
LMCADY_COMDTY_LMCAD,LMCAD,Commodity,0.000136516,0.086227353,4.523441494,1.749862306,0.007174923,-0.018818356,-0.02472369,-0.029734175,-0.035903205,-0.025902596,-0.030710638,-0.036604739,-0.042445578,0.019762399,0.025013786,0.032437611,0.034804612,0.026961759,0.031821395,0.036973133,0.040720615,0.478417535,0.0878611
MCXTINI_COMDTY_MCXTI,MCXTI,Commodity,0.000345177,1.720568786,288.2193346,1.612436665,0.006250747,-0.018874622,-0.024633443,-0.033252826,-0.041850031,-0.032312748,-0.043416124,-0.065166839,-0.097296515,0.017607193,0.023706071,0.03132865,0.035748965,0.03122857,0.04242807,0.065254005,0.10163967,0.642060181,0.348631385
MLCXCCSP_INDEX_MLCXC,MLCXC,Commodity,0.000229511,-0.044162068,4.106827426,1.802846625,0.009648976,-0.026040284,-0.031858367,-0.040326714,-0.045666896,-0.034415719,-0.040367682,-0.046403007,-0.050999221,0.024457282,0.030753404,0.03995214,0.045948782,0.033163803,0.039007364,0.046846391,0.050828719,0.957908813,0.038586322
NGUSHHUB_INDEX_NGUSH,NGUSH,Commodity,0.002309243,1.71542935,52.14292299,1.492784682,0.016785669,-0.054318531,-0.078898748,-0.112343674,-0.184218542,-0.104692133,-0.144047089,-0.219298264,-0.314205362,0.052064842,0.072229772,0.123702581,0.211246093,0.107210007,0.153656125,0.253213144,0.36406968,0.736601146,0.263398654
RBOB87PM_INDEX_RBOB8,RBOB8,Commodity,0.000533984,0.3157776,6.679008762,1.650603572,0.012942123,-0.038509221,-0.048467244,-0.064796554,-0.076521467,-0.052743267,-0.062655773,-0.07433087,-0.08018821,0.035185664,0.04846912,0.067470886,0.077523951,0.054350135,0.06793773,0.087788005,0.105807987,0.91446795,0.065377469
SOYBCH1Y_INDEX_SOYBC,SOYBC,Commodity,0.000155032,-0.43812925,7.550338037,1.784582919,0.007295253,-0.019454942,-0.025775842,-0.03299183,-0.039663245,-0.029028765,-0.036146986,-0.047474291,-0.060286301,0.018936825,0.025336514,0.031821057,0.036936709,0.027103891,0.032775083,0.038869916,0.045246113,0.837086312,0.080928559
SPGSLC_INDEX_SPGSL,SPGSL,Commodity,0.000116292,-0.030652777,3.391234519,1.861802363,0.007216125,-0.019243196,-0.023100873,-0.026254788,-0.028570006,-0.023750791,-0.026552864,-0.029160335,-0.031214581,0.019395247,0.022848312,0.024980475,0.027459235,0.023095766,0.025408723,0.027821083,0.029812614,0.941578417,0.047716672
USCRWTIC_INDEX_USCRW,USCRW,Commodity,0.000510233,0.023198987,5.70064278,1.650103653,0.012734482,-0.03832054,-0.048516097,-0.060493161,-0.07627933,-0.053003499,-0.062793474,-0.076717817,-0.087101342,0.032800721,0.047046823,0.060517432,0.080523236,0.05163282,0.064247056,0.080601336,0.095573932,0.919861109,0.071926945
WEATTKHR_INDEX_WEATT,WEATT,Commodity,0.000327338,0.30554099,4.48961151,1.86464507,0.011750963,-0.02787184,-0.03464375,-0.040788762,-0.052659962,-0.03734066,-0.043877893,-0.053053064,-0.060730283,0.030307699,0.036532306,0.047973926,0.05644146,0.041561928,0.049734278,0.061473903,0.0719598,0.33865913,0.1250458
XAG_CURNCY_XAG_C,XAG_C,Commodity,0.000165407,-0.123473912,6.065934596,1.600439328,0.006963705,-0.02032441,-0.026599293,-0.036950192,-0.044269055,-0.030614589,-0.037794724,-0.047223811,-0.05495267,0.02127101,0.028242645,0.035532416,0.042427651,0.030134639,0.035798628,0.044124813,0.049979054,0.9,0.05
XAU_CURNCY_XAU_C,XAU_C,Commodity,6.38E-05,0.251602534,5.472861464,1.743461702,0.004809542,-0.012579833,-0.016203296,-0.021034646,-0.023881435,-0.017433411,-0.02089198,-0.024761441,-0.027423691,0.013749598,0.016164583,0.02186077,0.02487299,0.018736354,0.022605547,0.028468827,0.03461208,0.9,0.05
XPT_CURNCY_XPT_C,XPT_C,Commodity,0.000127606,0.037507677,3.885700613,1.897163891,0.00737147,-0.017907171,-0.022721714,-0.02989682,-0.0332342,-0.024585775,-0.0292693,-0.034560875,-0.038323468,0.017954645,0.023397723,0.030847083,0.033528348,0.024866856,0.029466691,0.034539921,0.037064192,0.199978833,0.092225181
