Dates,CNY,EUR,GBP,INR,JPY,MXN,NGN,PHP
"Apr 17, 2017",6.8823,0.9395,0.7959,64.48,108.91,18.498,305.5,49.56
"Apr 18, 2017",6.8819,0.9319,0.779,64.605,108.42,18.594,305.5,49.626
"Apr 19, 2017",6.888,0.9336,0.7825,64.665,108.86,18.849,305.55,49.791
"Apr 20, 2017",6.8822,0.9331,0.7804,64.62,109.32,18.788,305.55,49.819
"Apr 21, 2017",6.8859,0.9322,0.7804,64.65,109.08,18.8125,305.55,49.84
"Apr 24, 2017",6.8848,0.9202,0.7816,64.49,109.77,18.733,305.5,49.767
"Apr 25, 2017",6.8847,0.9153,0.7788,64.33,111.09,18.8555,305.5,49.669
"Apr 26, 2017",6.8926,0.9172,0.7785,64.13,111.06,19.183,305.5,49.944
"Apr 27, 2017",6.8979,0.9197,0.775,64.115,111.27,19.0257,305.3,50.035
"Apr 28, 2017",6.8935,0.9177,0.7722,64.29,111.55,18.82,309.895,50.212
"May 1, 2017",6.8935,0.9175,0.7761,64.255,111.84,18.7386,305.3,50.145
"May 2, 2017",6.896,0.9149,0.7729,64.165,111.98,18.7593,305.9,49.999
"May 3, 2017",6.8989,0.9186,0.7772,64.165,112.75,18.866,318.165,49.99
"May 4, 2017",6.8962,0.9103,0.7738,64.215,112.46,19.053,305.2,49.885
"May 5, 2017",6.9031,0.9093,0.7703,64.315,112.72,18.9995,317.355,49.844
"May 8, 2017",6.9045,0.9154,0.7728,64.36,113.25,19.211,319.385,49.926
"May 9, 2017",6.9074,0.9196,0.7731,64.68,113.98,19.1715,305.2,50.01
"May 10, 2017",6.9032,0.9202,0.7729,64.615,114.28,19.014,305.15,49.946
"May 11, 2017",6.9036,0.9206,0.776,64.405,113.86,18.832,305.05,49.913
"May 12, 2017",6.8994,0.9149,0.7758,64.243,113.34,18.8157,305.05,49.676
"May 15, 2017",6.893,0.9112,0.7756,64.065,113.78,18.6995,306.5,49.7
"May 16, 2017",6.8867,0.9023,0.7742,64.045,113.12,18.6425,315.11,49.69
"May 17, 2017",6.8819,0.8962,0.7709,64.13,110.82,18.7812,304.9,49.75
"May 18, 2017",6.8892,0.9006,0.7732,64.88,111.5,18.829,314.875,49.794
"May 19, 2017",6.885,0.8923,0.7671,64.565,111.28,18.7052,304.95,49.646
"May 22, 2017",6.8864,0.8899,0.7692,64.51,111.3,18.6646,305.9,49.749
"May 23, 2017",6.89,0.8942,0.7714,64.895,111.78,18.634,304.9,49.844
"May 24, 2017",6.8899,0.8913,0.7708,64.77,111.5,18.443,304.9,49.983
"May 25, 2017",6.8689,0.8921,0.7728,64.555,111.83,18.506,304.95,49.819
"May 26, 2017",6.8556,0.8942,0.781,64.51,111.34,18.518,304.95,49.777
"May 29, 2017",6.8556,0.8958,0.7788,64.54,111.26,18.4772,304.9,49.819
"May 30, 2017",6.8556,0.894,0.7777,64.635,110.85,18.7083,324.355,49.812
"May 31, 2017",6.8101,0.8894,0.7758,64.51,110.78,18.6212,304.85,49.776
"Jun 1, 2017",6.8078,0.8919,0.7763,64.478,111.36,18.6392,304.88,49.795
"Jun 2, 2017",6.8117,0.8863,0.776,64.415,110.42,18.685,304.9,49.355
"Jun 5, 2017",6.804,0.8885,0.775,64.35,110.47,18.343,304.98,49.368
"Jun 6, 2017",6.7953,0.8867,0.7745,64.43,109.41,18.236,305,49.458
"Jun 7, 2017",6.7957,0.8883,0.7716,64.435,109.81,18.2267,305.05,49.489
"Jun 8, 2017",6.8003,0.8918,0.772,64.25,110,18.201,305.05,49.52
"Jun 9, 2017",6.798,0.8932,0.7846,64.245,110.34,18.172,305.08,49.53
"Jun 12, 2017",6.7982,0.8927,0.7901,64.48,109.94,18.1362,318.355,49.594
"Jun 13, 2017",6.7991,0.892,0.784,64.345,110.07,18.055,305.1,49.533
"Jun 14, 2017",6.7916,0.8914,0.7842,64.235,109.58,17.9205,324.37,49.523
"Jun 15, 2017",6.8079,0.8972,0.784,64.565,110.94,18.048,323.37,49.835
"Jun 16, 2017",6.8104,0.8931,0.7827,64.465,110.86,17.9115,305.2,49.875
"Jun 19, 2017",6.8195,0.897,0.7851,64.495,111.53,17.9575,324.355,50.038
