date,BV,CVIX,USD,SP,VIX
2019-01-01,2.574,8.69,96.085,2506.85,25.42
2019-01-02,2.568,9.222907,96.819,2510.03,23.22
2019-01-03,2.494,8.952615,96.305,2447.89,25.45
2019-01-04,2.557,8.953389,96.179,2531.94,21.38
2019-01-05,2.557,8.953389,96.179,2531.94,21.38
2019-01-06,2.557,8.953389,96.179,2531.94,21.38
2019-01-07,2.579,8.17,95.666,2549.69,21.4
2019-01-08,2.605,8.1,95.903,2574.41,20.47
2019-01-09,2.589,8.33,95.219,2584.96,19.98
2019-01-10,2.587,8.11,95.539,2596.64,19.5
2019-01-11,2.578,8.15,95.67,2596.26,18.19
2019-01-12,2.578,8.15,95.67,2596.26,18.19
2019-01-13,2.578,8.15,95.67,2596.26,18.19
2019-01-14,2.567,7.98,95.61,2582.61,19.07
2019-01-15,2.563,8.07,96.039,2610.3,18.6
2019-01-16,2.565,7.9,96.059,2616.1,19.04
2019-01-17,2.575,7.77,96.065,2635.96,18.06
2019-01-18,2.597,7.8,96.336,2670.71,17.8
2019-01-19,2.597,7.8,96.336,2670.71,17.8
2019-01-20,2.597,7.8,96.336,2670.71,17.8
2019-01-21,2.597,7.51,96.336,2670.71,17.8
2019-01-22,2.584,7.66,96.303,2632.9,20.8
2019-01-23,2.585,7.62,96.123,2638.7,19.52
2019-01-24,2.574,7.53,96.601,2642.33,18.89
2019-01-25,2.59,7.49,95.794,2664.76,17.42
2019-01-26,2.59,7.49,95.794,2664.76,17.42
2019-01-27,2.59,7.49,95.794,2664.76,17.42
2019-01-28,2.588,7.48,95.746,2643.85,18.87
2019-01-29,2.58,7.41,95.821,2640,19.13
2019-01-30,2.548,7.4,95.34,2681.05,17.66
2019-01-31,2.519,7.43,95.578,2704.1,16.57
2019-02-01,2.543,7.37,95.579,2706.53,16.14
2019-02-02,2.543,7.37,95.579,2706.53,16.14
2019-02-03,2.543,7.37,95.579,2706.53,16.14
2019-02-04,2.554,7.27,95.852,2724.87,15.73
2019-02-05,2.547,7.28,96.067,2737.7,15.57
2019-02-06,2.546,7.63,96.39,2731.61,15.38
2019-02-07,2.525,7.63,96.507,2706.05,16.37
2019-02-08,2.517,7.67,96.637,2707.88,15.72
2019-02-09,2.517,7.67,96.637,2707.88,15.72
2019-02-10,2.517,7.67,96.637,2707.88,15.72
2019-02-11,2.528,7.57,97.057,2709.8,15.97
2019-02-12,2.533,7.51,96.709,2744.73,15.43
2019-02-13,2.548,7.44,97.129,2753.03,15.65
2019-02-14,2.531,7.52,96.978,2745.73,16.22
2019-02-15,2.541,7.56,96.904,2775.6,14.91
2019-02-16,2.541,7.56,96.904,2775.6,14.91
