date,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,LEO,TRX,HT,CRO,STO,DASH,ETC,MIN,HEDG,NEO,ATOM,MIOTA,HEX,ZEC,XEM,MKR,INO,ONT,OKB,DOGE,FTT,BAT,PAX,VET,ELAMA,PLF,DGB,BTG,MWC,CCXX,ZRX,HYN,INB,DCR,TNC,THETA,OMG,DNA,ICX
2019-01-01,67098634181,NA,14665318370,14880496658,2892087608,1616381095,1913387274,2413813876,794641454,288374540,NA,2221377985,104779850,1103113660,807214007,NA,1303479300,55484821,31807520,NA,692537857,560395114,NA,NA,511301111,NA,1026158621,NA,333412878,595065819,336000438,4000795,176798158,NA,281442717,NA,160462113,142588094,229862439,NA,NA,120877893,235896245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,68849856732,NA,16150049902,15307691624,3014732747,1664647783,2000859669,2616899859,809466354,294826017,NA,2286718690,110771092,1173420170,872187905,NA,1347509926,57809725,32357549,NA,717906996,583194524,NA,NA,524970059,NA,1097094206,NA,342252065,604254087,361862964,4066180,187817527,NA,283171751,NA,166002492,139176073,234644707,NA,NA,121425553,235776178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-03,66994920903,NA,15536849936,14695011676,2843455670,1555333447,1917129494,2430015632,772178241,292890866,NA,2181193935,128091007,1106608705,831627236,NA,1338612807,54624223,36489547,NA,691215796,546424216,NA,0,499150574,NA,1054090622,NA,326191639,583754024,365544044,3939450,176569460,NA,277679885,NA,161067783,132718599,224651393,NA,NA,122163947,227023505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-04,67368333500,NA,16107068093,14553198221,2832257307,1537922018,1940204515,2466477575,793315820,293434817,NA,2210639452,153011387,1135911589,845363922,NA,1432220061,54664240,37310086,NA,694238320,563663345,NA,0,496248313,NA,1048052161,NA,327191560,585099826,363017440,3972974,177931636,NA,272494770,NA,169112062,131211457,227022231,NA,NA,123077483,227317791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-05,67157570935,NA,16219974745,14493133457,2815113500,1553493902,2092365506,2446379263,793368779,293553472,NA,2185438333,138581888,1158975656,833735767,NA,1485654797,54711985,32720969,NA,689352809,551144090,NA,0,509909060,NA,1027165541,NA,325609492,581589546,370589251,3921023,182667722,NA,272996564,NA,166939507,132606089,225920130,NA,NA,122981919,226876862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-06,71206795853,NA,16442429109,15028369642,2928444441,1586212000,2354185201,2605701211,836589632,294229729,NA,2306881891,138953564,1277183981,916301118,NA,1533052180,55958841,31379187,NA,734199904,590704005,NA,0,561765113,NA,1058789309,NA,346091701,599643071,379720591,4062772,190478731,NA,274056601,NA,172018992,132866268,240682223,NA,NA,134047292,241259441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-07,70316305580,NA,15814868678,14863201414,2830470728,1558437547,2265284886,2508645599,822912212,292464195,NA,2361236045,131765950,1244393599,882076445,NA,1572854360,54851880,40926845,NA,713013313,527734652,NA,0,550617746,NA,1022211263,NA,341541524,585145475,358796725,3962193,182859134,NA,269018283,NA,168510053,130340827,231586621,NA,NA,137580126,233569353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-08,70422743854,NA,15677889902,14902699115,2842511735,1537424564,2366141319,2535297817,868514466,294627647,NA,2359368084,148469448,1258115426,887562333,NA,1755126352,55388706,36003158,NA,698952596,535588392,NA,0,596424505,NA,1009221591,NA,342680358,578840193,356292880,3981923,187067901,NA,267977607,NA,172021493,132005458,243013235,NA,NA,130512404,235316853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-09,70508733459,NA,15726845711,15130140419,2810697903,1528138561,2337068756,2639474098,868710100,301279460,NA,2371931754,140631739,1352599204,880188905,NA,1893889900,55857202,36632283,NA,734366601,535176559,NA,0,598094197,NA,1026784852,NA,341274408,582601231,358682398,3983509,233735511,NA,266854314,NA,173207299,131797197,264492240,NA,NA,130427402,234088017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-10,64288932886,NA,13416263931,13652158155,2369927478,1333024139,2030671878,2207725769,773798122,275090901,NA,2101578736,124111323,1154512658,759671153,NA,1722582542,52209739,33537501,NA,631644094,476113076,NA,0,517924325,NA,869193282,NA,310238477,507750826,318642020,3873270,193238052,NA,251103615,NA,153411385,132657226,225613575,NA,NA,113813711,213422929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-11,64443301117,NA,13306214134,13662512032,2312246613,1317511207,1938944919,2190332346,794650511,273226269,NA,2052863209,155467564,1144607284,764824281,NA,1674709540,53061200,33826415,NA,631783615,482020404,NA,0,516504205,NA,876593512,NA,318106794,524853900,317472269,3878886,207411461,NA,250754770,NA,158495713,133976728,222129977,NA,NA,114681305,217448460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-12,63994140882,NA,13143426379,13494075804,2360139637,1454135673,1942860854,2199816780,781782829,258048387,NA,2042010171,144285540,1133124203,751516993,NA,1566205165,53628197,33647518,NA,630439544,490214580,NA,0,503879545,NA,872135457,NA,317865487,516212678,316509191,3823844,200523398,NA,253082186,NA,160541923,133983809,222935969,NA,NA,114426273,214358890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-13,62106461671,NA,12199288487,13045216854,2219291825,1360198445,1820214944,2048265249,728389539,239778739,NA,1981659222,155491200,1043328640,719835397,NA,1418916138,52860908,32744580,NA,601912036,456169750,NA,0,468999891,NA,818882842,NA,300317100,493580947,308094622,3739087,186459074,NA,246733656,NA,147450975,133829058,209906510,NA,NA,106562596,207228484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-14,64789619995,NA,13471754802,13697899741,2353563604,1411712392,1942198294,2246640413,805629865,253106093,NA,2097196130,169981024,1142310312,766658180,NA,1710959699,53186363,31993483,NA,625302585,467966585,NA,0,517575816,NA,860486211,NA,319245245,522324346,337951853,3827889,198281161,NA,257213741,NA,154109966,138131373,224223809,NA,NA,114885199,214777653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-15,63477817959,NA,12739543688,13427555274,2257176864,1360428517,1891520613,2178230225,774207426,247829979,NA,2021440021,181578132,1109941703,750562256,NA,1636805583,52957050,31267995,NA,606097142,452615817,NA,0,495444729,NA,846537475,NA,306942775,505899173,310529167,3726175,191635848,NA,248720213,NA,149357270,140506943,217906652,NA,NA,113741767,208907673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-16,63909348776,NA,12899812275,13531060365,2269508449,1373822193,1910976281,2218016458,799081409,258124771,NA,2044510226,174080781,1160927551,772411706,NA,1678251865,53280563,31206288,NA,611007487,463653575,NA,0,502841001,NA,849955196,NA,303024377,510792669,325556131,3785252,202866186,NA,251931605,NA,153327911,134903982,221473436,NA,NA,111145360,210092653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-17,64327048255,NA,12922347330,13516769990,2302882084,1371508266,1915371847,2279567084,829026635,259413304,NA,2074534041,169054158,1174964368,763695184,NA,1687652402,53176567,31933521,NA,620807031,486673703,NA,0,510252346,NA,874630769,NA,311361075,514919425,335919514,3695788,203158120,NA,246798932,NA,158879790,138759638,236373282,NA,NA,115143603,205230866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-18,63970991867,NA,12639234713,13308451031,2257476672,1334911206,1881176121,2238137993,847783881,265593204,NA,2043394276,175256028,1148980462,754975899,NA,1653057364,53185070,31505692,NA,614067356,471913768,NA,0,501264109,NA,871454889,NA,305008550,512174232,331411590,3732009,197166658,NA,248304914,NA,154910505,137296316,226035211,NA,NA,109329908,195229870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-19,65214103659,NA,13007954846,13584427086,2288428149,1362577707,1956101651,2253727490,857137442,265690163,NA,2071773680,172014468,1186172183,773381169,NA,1637519380,52911290,31922255,NA,634435314,473795324,NA,0,525169067,NA,880184030,NA,312019334,519820232,342882055,3812635,201509984,NA,253903206,NA,159631251,142078525,229468602,NA,NA,113178291,201142852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-20,62990143284,NA,12483136112,13181215054,2177598900,1324247115,1873953844,2145396773,838848751,260283695,NA,2002863078,171542899,1127226431,738232143,NA,1591020870,52844355,31133652,NA,599612574,461528744,NA,0,493449297,NA,839047167,NA,303596293,503473664,325636995,3756041,194218876,NA,249843275,NA,153471388,142533369,222470882,NA,NA,108310376,195852059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-21,62559869612,NA,12242940197,13165341827,2159253905,1318537239,1876573922,2132530758,846490209,257267880,NA,1977567464,176194054,1113231795,746108403,NA,1707046433,52666408,30374551,NA,599881626,463342096,NA,0,492617156,NA,840241056,NA,301304915,503711722,313040054,3726472,189710594,NA,247737175,NA,150274688,140676736,229017737,NA,NA,106608774,194860400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-22,63065139424,NA,12410972241,13112032408,2258084781,1334760515,1905392084,2218376062,842637433,257508560,NA,1991464324,189117145,1129838202,768696101,NA,1758703939,52848814,30026543,NA,615524471,466089467,NA,0,500896220,NA,855271387,NA,302346786,507181330,330383708,3748068,196515040,NA,242632498,NA,152243513,138484083,253317355,NA,NA,109036036,196151261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-23,62731361272,NA,12277481872,12988961767,2326546174,1328070050,1924964952,2211327785,844988795,258393550,NA,1962267842,178491610,1112274745,751394884,NA,1770223608,52374849,29991182,NA,610130559,463718877,NA,0,492474942,NA,826053071,NA,301625446,501079737,334295653,3733894,193673577,NA,240979399,NA,150678090,136535608,243483582,NA,NA,106107203,195310733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
