,BTC,ETH,XRP,BCH,BSV,LTC,ADA,CRO,BNB,EOS,LINK,XTZ,XLM,XMR,TRX
BTC,0,0.0655909736600128,0,0,0.0314076475152788,0.064309933107934,0,0.158397713233428,0,-6.93889390390723e-18,0,0.116851928662246,-0.0437874795096428,0.0355282403698893,0.305466914517243
ETH,0.137811656527967,0,0,0,0,0,0,0.147036278528405,0.0460257524994293,0.0105097577004492,0.104172829562816,0,0,0,0.14602101570715
XRP,0,0,0,0,0.195923076546638,0.151003605819153,0.0712687325356775,0,0,0.0994462403975683,0,0,0.00650458120621894,0,0.128070440721318
BCH,0.261901987990881,0,-0.0606208661755336,0,0.174692349214308,0.222766262980232,0,0,0,0.45652845066986,0.00316997469635853,0.0237028204630142,0,0,0
BSV,0,0.0806570687289747,0,0.272645161938777,0,0.350592276097612,-0.0568500370804159,0,0,0.276055020524975,0,0.056786982020999,0,0,0.0230442852906284
LTC,0.0994253782145638,0.158739777166773,0,0.139030625716412,0.0647333689805156,0,0,0,0.0283254658817286,0.160532539996124,0,0.121186447761239,0,-0.0356367152497563,0.111161979105184
ADA,-0.250913583265529,0.456670344179106,0,0,-0.0320308289328929,0,0,0,-0.399720087464766,0.163232732647033,0.309540219851057,0.142799967306057,0.0793131994195054,-0.120513446316023,0.409440421466467
CRO,1.03077921185502,0.140538373826163,-0.143790675251017,-0.169330044538448,0,0,0.0455814213418521,0,0,0,0,0.032991463426398,0.212173976264822,0,0
BNB,0,0.196240282830747,0.0810707923168381,0.166245362950467,0,0,0.0539325456446077,0,0,0,0,0,0,0,0.105790253787746
EOS,0,0,0,0.50439356898395,0.151987023024439,0.0660763107275464,0.0502330262087078,0,0,0,-0.0392977386369404,0,0,0.0232971741790915,0.208626416871121
LINK,-0.525163662767721,0,0.808537177016094,0,0,0,0.207562593389048,0.634124534242943,-0.153069485320041,0,0,0.2803516246516,0.144551579697833,-0.47788543945915,0
XTZ,0,0,0,-6.93889390390723e-18,0,0,0.027059264706598,0.125958998581899,0,-1.73472347597681e-18,0.407170677186519,0,0.185672825301628,0,0
XLM,8.67361737988404e-19,0.0752201782006305,0.0505977108268571,0,0,0,0.282579406824274,0,-0.165708880990952,0.166129714617432,0.209657082497855,0,0,0,0.141790461595117
XMR,0,0.199675832477746,0,0,-0.0430260145386626,0.154051046698849,0,0.140274726367952,0.337663674421869,0,0.0587340193227815,0.0812585483619476,0,0,-6.93889390390723e-18
TRX,0,0,0,0,0,0,0,0,0,0.616998633719105,0.0120624744806619,0.0147054423805928,0,0.317113979937366,0
