"Date","Price","Open","High","Low","Change %"
"Nov 22, 2019","0.7740","0.7741","0.7746","0.7735","-0.01%"
"Nov 21, 2019","0.7740","0.7736","0.7756","0.7710","0.03%"
"Nov 20, 2019","0.7738","0.7738","0.7761","0.7732","0.03%"
"Nov 19, 2019","0.7736","0.7721","0.7748","0.7711","0.21%"
"Nov 18, 2019","0.7720","0.7749","0.7752","0.7701","-0.41%"
"Nov 15, 2019","0.7752","0.7764","0.7772","0.7741","-0.14%"
"Nov 14, 2019","0.7763","0.7780","0.7797","0.7757","-0.24%"
"Nov 13, 2019","0.7782","0.7783","0.7800","0.7773","-0.04%"
"Nov 12, 2019","0.7785","0.7778","0.7803","0.7766","0.08%"
"Nov 11, 2019","0.7779","0.7827","0.7827","0.7753","-0.65%"
"Nov 08, 2019","0.7830","0.7805","0.7833","0.7796","0.33%"
"Nov 07, 2019","0.7804","0.7781","0.7817","0.7765","0.32%"
"Nov 06, 2019","0.7779","0.7762","0.7786","0.7753","0.23%"
"Nov 05, 2019","0.7761","0.7762","0.7778","0.7742","-0.01%"
"Nov 04, 2019","0.7762","0.7725","0.7768","0.7723","0.40%"
"Nov 01, 2019","0.7731","0.7728","0.7736","0.7708","0.05%"
"Oct 31, 2019","0.7727","0.7749","0.7756","0.7706","-0.30%"
"Oct 30, 2019","0.7750","0.7770","0.7786","0.7747","-0.28%"
"Oct 29, 2019","0.7772","0.7773","0.7809","0.7749","-0.01%"
"Oct 28, 2019","0.7773","0.7799","0.7806","0.7766","-0.33%"
"Oct 25, 2019","0.7799","0.7781","0.7811","0.7774","0.23%"
"Oct 24, 2019","0.7781","0.7745","0.7820","0.7721","0.52%"
"Oct 23, 2019","0.7741","0.7769","0.7788","0.7739","-0.35%"
"Oct 22, 2019","0.7768","0.7716","0.7775","0.7692","0.67%"
"Oct 21, 2019","0.7716","0.7737","0.7767","0.7684","0.09%"
"Oct 18, 2019","0.7709","0.7758","0.7789","0.7699","-0.63%"
"Oct 17, 2019","0.7758","0.7792","0.7843","0.7698","-0.45%"
"Oct 16, 2019","0.7793","0.7820","0.7901","0.7766","-0.35%"
"Oct 15, 2019","0.7820","0.7931","0.7935","0.7812","-1.41%"
"Oct 14, 2019","0.7932","0.7921","0.7990","0.7903","0.33%"
"Oct 11, 2019","0.7906","0.8038","0.8060","0.7869","-1.63%"
"Oct 10, 2019","0.8037","0.8193","0.8194","0.8020","-1.90%"
"Oct 09, 2019","0.8193","0.8185","0.8198","0.8136","0.11%"
"Oct 08, 2019","0.8184","0.8134","0.8200","0.8128","0.60%"
"Oct 07, 2019","0.8135","0.8114","0.8139","0.8105","0.33%"
"Oct 04, 2019","0.8108","0.8108","0.8146","0.8093","-0.04%"
"Oct 03, 2019","0.8111","0.8126","0.8153","0.8055","-0.22%"
"Oct 02, 2019","0.8129","0.8128","0.8179","0.8113","0.05%"
"Oct 01, 2019","0.8125","0.8136","0.8192","0.8103","-0.12%"
"Sep 30, 2019","0.8135","0.8138","0.8146","0.8099","-0.02%"
"Sep 27, 2019","0.8137","0.8115","0.8149","0.8103","0.27%"
"Sep 26, 2019","0.8115","0.8092","0.8129","0.8076","0.23%"
"Sep 25, 2019","0.8096","0.8006","0.8099","0.8001","1.12%"
"Sep 24, 2019","0.8006","0.8045","0.8056","0.7998","-0.47%"
"Sep 23, 2019","0.8044","0.8021","0.8056","0.8005","0.37%"
"Sep 20, 2019","0.8014","0.7982","0.8025","0.7947","0.38%"
"Sep 19, 2019","0.7984","0.8017","0.8041","0.7963","-0.42%"
"Sep 18, 2019","0.8018","0.8000","0.8042","0.7993","0.23%"
"Sep 17, 2019","0.8000","0.8041","0.8069","0.7983","-0.56%"
"Sep 16, 2019","0.8045","0.7999","0.8066","0.7993","0.58%"
"Sep 13, 2019","0.7999","0.8107","0.8113","0.7995","-1.33%"
"Sep 12, 2019","0.8107","0.8114","0.8143","0.8085","-0.06%"
"Sep 11, 2019","0.8112","0.8098","0.8123","0.8083","0.17%"
"Sep 10, 2019","0.8098","0.8099","0.8126","0.8079","-0.01%"
"Sep 09, 2019","0.8099","0.8127","0.8174","0.8073","-0.53%"
"Sep 06, 2019","0.8142","0.8109","0.8144","0.8100","0.42%"
"Sep 05, 2019","0.8108","0.8161","0.8190","0.8094","-0.66%"
"Sep 04, 2019","0.8162","0.8279","0.8280","0.8157","-1.35%"
"Sep 03, 2019","0.8274","0.8287","0.8363","0.8260","-0.14%"
"Sep 02, 2019","0.8286","0.8232","0.8309","0.8214","0.74%"
"Aug 30, 2019","0.8225","0.8211","0.8238","0.8179","0.26%"
"Aug 29, 2019","0.8204","0.8189","0.8216","0.8175","0.18%"
"Aug 28, 2019","0.8189","0.8136","0.8226","0.8135","0.64%"
"Aug 27, 2019","0.8137","0.8185","0.8192","0.8123","-0.59%"
"Aug 26, 2019","0.8185","0.8161","0.8193","0.8138","0.50%"
"Aug 23, 2019","0.8144","0.8162","0.8200","0.8134","-0.22%"
"Aug 22, 2019","0.8162","0.8245","0.8259","0.8147","-1.02%"
"Aug 21, 2019","0.8246","0.8216","0.8256","0.8212","0.35%"
"Aug 20, 2019","0.8217","0.8246","0.8289","0.8208","-0.35%"
"Aug 19, 2019","0.8246","0.8232","0.8262","0.8215","0.19%"
"Aug 16, 2019","0.8230","0.8274","0.8280","0.8213","-0.53%"
"Aug 15, 2019","0.8274","0.8290","0.8299","0.8229","-0.22%"
"Aug 14, 2019","0.8292","0.8292","0.8304","0.8264","0.00%"
"Aug 13, 2019","0.8292","0.8281","0.8305","0.8265","0.12%"
"Aug 12, 2019","0.8282","0.8300","0.8324","0.8259","-0.36%"
"Aug 09, 2019","0.8312","0.8246","0.8317","0.8226","0.85%"
"Aug 08, 2019","0.8242","0.8236","0.8268","0.8207","0.07%"
"Aug 07, 2019","0.8236","0.8217","0.8250","0.8202","0.22%"
"Aug 06, 2019","0.8218","0.8236","0.8243","0.8190","-0.22%"
"Aug 05, 2019","0.8236","0.8235","0.8264","0.8204","0.11%"
"Aug 02, 2019","0.8227","0.8240","0.8272","0.8217","-0.18%"
"Aug 01, 2019","0.8242","0.8227","0.8279","0.8216","0.21%"
"Jul 31, 2019","0.8225","0.8227","0.8242","0.8164","-0.05%"
"Jul 30, 2019","0.8229","0.8184","0.8252","0.8178","0.55%"
"Jul 29, 2019","0.8184","0.8073","0.8189","0.8071","1.34%"
"Jul 26, 2019","0.8076","0.8026","0.8082","0.8024","0.66%"
"Jul 25, 2019","0.8023","0.8010","0.8042","0.7988","0.15%"
"Jul 24, 2019","0.8011","0.8038","0.8046","0.7984","-0.36%"
"Jul 23, 2019","0.8040","0.8017","0.8053","0.8011","0.31%"
