"Date","Price","Open","High","Low","Change %"
"Dec 18, 2019","362.500","362.500","362.500","362.500","0.00%"
"Dec 17, 2019","362.500","362.500","362.500","362.500","18.33%"
"Dec 16, 2019","306.350","306.450","306.950","306.350","-0.03%"
"Dec 13, 2019","306.450","306.400","306.950","306.400","0.02%"
"Dec 12, 2019","306.400","306.950","307.450","306.380","0.01%"
"Dec 11, 2019","306.380","306.380","306.950","306.380","0.00%"
"Dec 10, 2019","306.380","306.950","306.950","306.380","-0.01%"
"Dec 09, 2019","306.400","306.450","306.950","306.400","-0.02%"
"Dec 06, 2019","306.450","306.450","306.950","306.400","0.00%"
"Dec 05, 2019","306.450","306.480","306.950","306.450","0.00%"
"Dec 04, 2019","306.450","306.400","306.950","306.400","0.02%"
"Dec 03, 2019","306.400","306.950","306.950","306.400","-0.03%"
"Dec 02, 2019","306.500","306.500","306.950","306.500","0.00%"
"Nov 29, 2019","306.500","306.950","306.950","306.450","0.00%"
"Nov 28, 2019","306.500","306.500","306.950","306.500","0.00%"
"Nov 27, 2019","306.500","306.450","306.950","306.400","0.02%"
"Nov 26, 2019","306.450","306.450","306.950","306.450","0.00%"
"Nov 25, 2019","306.450","306.400","306.950","306.400","0.02%"
"Nov 22, 2019","306.400","306.450","307.450","306.400","-0.02%"
"Nov 21, 2019","306.450","307.450","307.450","306.450","-0.33%"
"Nov 20, 2019","307.450","307.450","307.450","306.950","0.00%"
"Nov 19, 2019","307.450","307.450","307.450","306.950","0.00%"
"Nov 18, 2019","307.450","307.450","307.450","306.900","0.00%"
"Nov 15, 2019","307.450","307.400","307.450","306.950","0.02%"
"Nov 14, 2019","307.400","307.400","307.450","306.900","0.00%"
"Nov 13, 2019","307.400","306.950","307.450","306.900","0.00%"
"Nov 12, 2019","307.400","307.400","307.450","306.900","0.00%"
"Nov 11, 2019","307.400","307.400","307.450","306.950","0.00%"
"Nov 08, 2019","307.400","306.450","307.450","306.400","0.31%"
"Nov 07, 2019","306.450","306.450","307.450","306.400","0.00%"
"Nov 06, 2019","306.450","306.450","306.950","306.400","0.00%"
"Nov 05, 2019","306.450","306.500","306.950","306.450","-0.02%"
"Nov 04, 2019","306.500","306.500","306.950","306.500","0.00%"
"Nov 01, 2019","306.500","306.500","307.400","306.500","0.00%"
"Oct 31, 2019","306.500","306.480","306.950","306.480","0.01%"
"Oct 30, 2019","306.480","307.400","307.450","306.480","-0.30%"
"Oct 29, 2019","307.400","307.450","307.450","306.900","-0.02%"
"Oct 28, 2019","307.450","307.450","307.450","306.900","0.00%"
"Oct 25, 2019","307.450","307.400","307.500","306.900","0.02%"
"Oct 24, 2019","307.400","307.400","307.450","306.900","0.00%"
"Oct 23, 2019","307.400","306.950","307.450","306.950","0.00%"
"Oct 22, 2019","307.400","307.400","307.400","306.900","0.00%"
"Oct 21, 2019","307.400","306.400","307.450","306.400","0.33%"
"Oct 18, 2019","306.400","306.400","306.950","306.400","0.00%"
"Oct 17, 2019","306.400","306.450","306.950","306.400","-0.02%"
"Oct 16, 2019","306.450","306.950","306.950","306.450","0.00%"
"Oct 15, 2019","306.450","306.450","306.950","306.400","0.00%"
"Oct 14, 2019","306.450","306.450","306.950","306.400","0.00%"
"Oct 11, 2019","306.450","306.500","306.950","306.450","-0.02%"
"Oct 10, 2019","306.500","306.500","307.500","306.500","0.00%"
"Oct 09, 2019","306.500","306.500","307.500","306.500","0.00%"
"Oct 08, 2019","306.500","306.500","306.950","306.500","0.00%"
"Oct 07, 2019","306.500","306.500","306.950","306.500","0.00%"
"Oct 04, 2019","306.500","306.500","306.950","306.500","0.00%"
"Oct 03, 2019","306.500","306.950","306.950","306.500","0.00%"
"Oct 02, 2019","306.500","306.500","306.950","306.500","0.00%"
"Oct 01, 2019","306.500","306.450","306.950","306.400","0.02%"
"Sep 30, 2019","306.450","306.400","307.500","306.400","0.02%"
"Sep 27, 2019","306.400","306.450","307.450","306.400","-0.02%"
"Sep 26, 2019","306.450","306.450","307.400","306.400","0.00%"
"Sep 25, 2019","306.450","306.400","307.400","306.400","0.02%"
"Sep 24, 2019","306.400","306.400","307.450","306.350","0.00%"
"Sep 23, 2019","306.400","306.400","307.400","306.350","0.00%"
"Sep 20, 2019","306.400","306.400","307.400","306.400","0.00%"
"Sep 19, 2019","306.400","306.380","306.950","306.380","0.01%"
"Sep 18, 2019","306.380","306.380","307.450","306.380","0.00%"
"Sep 17, 2019","306.380","306.400","306.950","306.380","-0.01%"
"Sep 16, 2019","306.400","306.950","307.450","306.350","0.02%"
"Sep 13, 2019","306.350","306.350","306.950","306.350","0.00%"
"Sep 12, 2019","306.350","306.300","307.450","306.300","0.02%"
"Sep 11, 2019","306.300","306.400","306.950","306.300","-0.03%"
"Sep 10, 2019","306.400","306.380","306.950","306.380","0.01%"
"Sep 09, 2019","306.380","306.400","306.950","306.380","-0.01%"
"Sep 06, 2019","306.400","306.400","306.950","306.400","0.00%"
"Sep 05, 2019","306.400","306.450","306.950","306.400","-0.02%"
"Sep 04, 2019","306.450","306.950","306.950","306.420","0.01%"
"Sep 03, 2019","306.420","306.500","307.000","306.420","-0.03%"
"Sep 02, 2019","306.500","306.500","306.950","306.500","0.00%"
"Aug 30, 2019","306.500","306.950","307.000","306.500","0.00%"
"Aug 29, 2019","306.500","306.500","307.000","306.500","0.00%"
"Aug 28, 2019","306.500","306.950","307.500","306.450","0.00%"
"Aug 27, 2019","306.500","306.950","307.500","306.400","0.02%"
"Aug 26, 2019","306.450","306.400","307.000","306.400","0.02%"
"Aug 23, 2019","306.400","306.450","307.000","306.400","-0.02%"
"Aug 22, 2019","306.450","306.450","307.450","306.400","0.00%"
"Aug 21, 2019","306.450","306.450","307.450","306.450","0.02%"
"Aug 20, 2019","306.400","306.380","307.500","306.380","0.01%"
"Aug 19, 2019","306.380","306.400","306.950","306.380","-0.01%"
"Aug 16, 2019","306.400","306.400","306.950","306.350","0.00%"
"Aug 15, 2019","306.400","306.400","306.950","306.400","0.00%"
"Aug 14, 2019","306.400","306.400","306.950","306.400","0.00%"
"Aug 13, 2019","306.400","306.380","306.950","306.380","0.01%"
"Aug 12, 2019","306.380","306.950","306.950","306.380","-0.01%"
"Aug 09, 2019","306.400","306.400","307.500","306.400","0.00%"
"Aug 08, 2019","306.400","306.380","306.950","306.380","0.01%"
"Aug 07, 2019","306.380","306.380","307.350","306.380","0.00%"
"Aug 06, 2019","306.380","306.300","306.950","306.300","0.03%"
"Aug 05, 2019","306.300","306.950","307.500","306.300","-0.03%"
"Aug 02, 2019","306.380","306.950","306.950","306.300","0.03%"
"Aug 01, 2019","306.300","306.300","307.450","306.300","0.00%"
"Jul 31, 2019","306.300","306.380","306.950","306.300","-0.03%"
"Jul 30, 2019","306.380","306.380","306.950","306.380","0.00%"
"Jul 29, 2019","306.380","306.950","307.500","306.380","0.00%"
"Jul 26, 2019","306.380","306.380","306.950","306.380","0.00%"
"Jul 25, 2019","306.380","306.380","307.500","306.380","0.00%"
"Jul 24, 2019","306.380","306.400","307.450","306.380","-0.01%"
"Jul 23, 2019","306.400","306.450","307.500","306.400","-0.02%"
"Jul 22, 2019","306.450","306.950","306.950","306.450","0.00%"
"Jul 19, 2019","306.450","306.450","307.450","306.450","0.00%"
"Jul 18, 2019","306.450","306.400","307.450","306.400","0.02%"
"Jul 17, 2019","306.400","306.450","306.950","306.400","-0.02%"
"Jul 16, 2019","306.450","306.500","307.000","306.450","-0.02%"
"Jul 15, 2019","306.500","306.950","307.500","306.500","0.00%"
"Jul 12, 2019","306.500","306.500","307.500","306.500","0.00%"
"Jul 11, 2019","306.500","306.500","307.000","306.500","0.00%"
"Jul 10, 2019","306.500","306.500","307.500","306.500","0.00%"
"Jul 09, 2019","306.500","306.950","307.450","306.450","0.02%"
"Jul 08, 2019","306.450","306.450","307.500","306.400","0.00%"
"Jul 05, 2019","306.450","306.450","307.450","306.400","0.00%"
"Jul 04, 2019","306.450","306.950","307.450","306.400","0.00%"
"Jul 03, 2019","306.450","306.450","307.450","306.400","0.00%"
"Jul 02, 2019","306.450","306.400","307.450","306.400","0.02%"
"Jul 01, 2019","306.400","306.400","307.450","306.380","0.00%"
"Jun 28, 2019","306.400","306.400","307.400","306.400","0.00%"
"Jun 27, 2019","306.400","306.400","307.450","306.400","0.00%"
"Jun 26, 2019","306.400","306.380","307.450","306.380","0.01%"
"Jun 25, 2019","306.380","306.400","307.400","306.380","-0.01%"
"Jun 24, 2019","306.400","306.420","307.400","306.400","-0.01%"
"Jun 21, 2019","306.420","306.950","307.450","306.400","0.01%"
"Jun 20, 2019","306.400","306.450","307.450","306.400","-0.02%"
"Jun 19, 2019","306.450","306.450","307.450","306.400","0.00%"
"Jun 18, 2019","306.450","306.500","307.450","306.450","-0.02%"
"Jun 17, 2019","306.500","306.500","307.450","306.500","0.00%"
"Jun 14, 2019","306.500","306.500","307.500","306.450","0.00%"
"Jun 13, 2019","306.500","306.950","307.500","306.500","0.00%"
"Jun 12, 2019","306.500","306.500","306.950","306.450","-0.24%"
"Jun 11, 2019","307.250","306.150","307.250","306.150","0.28%"
"Jun 10, 2019","306.400","306.450","307.450","306.400","-0.02%"
"Jun 07, 2019","306.450","306.400","307.450","306.400","0.02%"
"Jun 06, 2019","306.400","306.450","307.450","306.400","-0.02%"
"Jun 05, 2019","306.450","306.450","306.950","306.450","0.00%"
"Jun 04, 2019","306.450","306.420","306.950","306.420","0.01%"
"Jun 03, 2019","306.420","306.400","307.450","306.400","0.01%"
"May 31, 2019","306.400","306.450","307.450","306.400","-0.02%"
"May 30, 2019","306.450","306.450","306.950","306.400","0.00%"
"May 29, 2019","306.450","306.420","306.950","306.420","0.01%"
"May 28, 2019","306.420","306.400","307.450","306.400","0.01%"
"May 27, 2019","306.400","306.400","306.950","306.400","0.00%"
"May 24, 2019","306.400","306.400","306.950","306.400","0.00%"
"May 23, 2019","306.400","306.950","306.950","306.380","0.01%"
"May 22, 2019","306.380","306.400","306.950","306.380","-0.01%"
"May 21, 2019","306.400","306.450","306.950","306.400","-0.02%"
"May 20, 2019","306.450","306.950","306.950","306.400","0.00%"
"May 17, 2019","306.450","306.450","306.950","306.400","0.00%"
"May 16, 2019","306.450","306.950","307.500","306.400","0.00%"
"May 15, 2019","306.450","306.450","306.950","306.380","0.00%"
"May 14, 2019","306.450","306.500","306.950","306.380","-0.02%"
"May 13, 2019","306.500","306.380","307.500","306.380","0.00%"
"May 10, 2019","306.500","306.500","307.000","306.380","0.00%"
"May 09, 2019","306.500","306.500","307.000","306.380","0.00%"
"May 08, 2019","306.500","306.500","307.000","306.380","0.00%"
"May 07, 2019","306.500","306.450","315.000","306.380","0.02%"
"May 06, 2019","306.450","306.450","315.000","306.380","0.00%"
"May 03, 2019","306.450","306.400","315.000","306.380","0.02%"
"May 02, 2019","306.400","306.420","315.000","306.380","-0.01%"
"May 01, 2019","306.420","306.450","306.450","306.380","-0.01%"
"Apr 30, 2019","306.450","306.380","315.000","306.380","0.02%"
"Apr 29, 2019","306.380","306.380","315.000","306.380","0.00%"
"Apr 26, 2019","306.380","306.380","315.000","306.380","0.00%"
"Apr 25, 2019","306.380","306.400","315.000","306.380","-0.01%"
"Apr 24, 2019","306.400","306.450","315.000","306.400","-0.02%"
"Apr 23, 2019","306.450","306.400","315.000","306.400","0.02%"
