Attaccante;Bersaglio;Tecnica;Continente;Severity
Information warfare;Critical Infrastructures;Multiple Threats / APT;EU;1
Information warfare;Critical Infrastructures;Multiple Threats / APT;EU;1
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;OC;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AS;1
Hacktivism;Gov - Mil - LE - Intelligence;0-day;AM;1
Hacktivism;Online Services / Cloud;Vulnerabilities;AM;2
Cybercrime;Health;Malware;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Gov. Contractors / Consulting;Vulnerabilities;AM;2
Cybercrime;Research - Education;Malware;AM;3
Cybercrime;Entertainment / News;Account Cracking;EU;3
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Online Services / Cloud;DDoS;EU;2
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Entertainment / News;Phishing / Social Engineering;AM;3
Cybercrime;Research - Education;Malware;AM;1
Cybercrime;Online Services / Cloud;Unknown;EU;3
Cybercrime;Health;Malware;AM;2
Cybercrime;Research - Education;Malware;AM;2
Hacktivism;Gov - Mil - LE - Intelligence;Unknown;AS;2
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;OC;2
Cybercrime;Online Services / Cloud;Unknown;EU;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Hacktivism;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;SW / HW Vendor;Vulnerabilities;AM;3
Cybercrime;Security;Unknown;AS;3
Cybercrime;Automotive;Unknown;AM;2
Cybercrime;Health;Account Cracking;AM;3
Hacktivism;Gov - Mil - LE - Intelligence;SQLi;AM;2
Cybercrime;Hospitability;Account Cracking;AM;3
Cybercrime;Research - Education;Malware;AM;3
Cybercrime;Health;Unknown;AM;2
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Health;Vulnerabilities;EU;2
Cybercrime;Research - Education;Vulnerabilities;AM;3
Espionage / Sabotage;Banking / Finance;Unknown;AS;1
Cybercrime;Health;Unknown;AM;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Account Cracking;AS;1
Cybercrime;Others;Account Cracking;EU;3
Cybercrime;Entertainment / News;Unknown;EU;3
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Hospitability;Malware;AM;2
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Others;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;AS;1
Cybercrime;Banking / Finance;Malware;AM;2
Hacktivism;Entertainment / News;Unknown;AM;2
Cybercrime;Others;Malware;AM;3
Cybercrime;Entertainment / News;Malware;AM;3
Cybercrime;Research - Education;Unknown;AS;3
Hacktivism;Entertainment / News;Account Cracking;EU;2
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Health;Malware;AM;2
Cybercrime;Entertainment / News;Malware;AS;3
Information warfare;Gov - Mil - LE - Intelligence;Malware;AS;1
Cybercrime;Banking / Finance;DDoS;EU;2
Hacktivism;Entertainment / News;Account Cracking;AM;2
Cybercrime;Banking / Finance;Unknown;AM;3
Information warfare;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;1
Cybercrime;SW / HW Vendor;Malware;AM;1
Cybercrime;Hospitability;Unknown;AM;3
Cybercrime;Telco;Unknown;AM;3
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Online Services / Cloud;Vulnerabilities;AS;3
Information warfare;Gov - Mil - LE - Intelligence;Vulnerabilities;EU;1
Cybercrime;Online Services / Cloud;Unknown;AS;3
Hacktivism;Gov - Mil - LE - Intelligence;Account Cracking;AM;2
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Online Services / Cloud;Vulnerabilities;AM;3
Cybercrime;Health;Phishing / Social Engineering;AM;3
Espionage / Sabotage;Entertainment / News;Multiple Threats / APT;EU;1
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Banking / Finance;Malware;EU;2
Cybercrime;Banking / Finance;DDoS;AS;2
Cybercrime;Others;Unknown;AM;3
Cybercrime;Research - Education;Vulnerabilities;OC;2
Cybercrime;Hospitability;Malware;EU;1
Hacktivism;Entertainment / News;Account Cracking;AM;3
Cybercrime;Hospitability;Malware;EU;2
Hacktivism;Entertainment / News;Account Cracking;AM;2
Cybercrime;Others;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;1
Cybercrime;Security;DDoS;EU;3
Cybercrime;Entertainment / News;Unknown;EU;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Account Cracking;EU;1
Hacktivism;Entertainment / News;Unknown;AM;2
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Banking / Finance;Malware;AM;2
Hacktivism;Entertainment / News;Unknown;AM;2
Espionage / Sabotage;Critical Infrastructures;Multiple Threats / APT;EU;2
Cybercrime;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;EU;2
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Research - Education;Unknown;OC;3
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Others;Unknown;EU;3
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Banking / Finance;Malware;EU;2
Cybercrime;Health;Unknown;AM;3
Cybercrime;SW / HW Vendor;Unknown;AM;3
Espionage / Sabotage;Multiple targets;Unknown;AM;1
Cybercrime;Entertainment / News;Account Cracking;OC;3
Espionage / Sabotage;Health;Vulnerabilities;EU;1
Cybercrime;Health;Unknown;AM;3
Information warfare;Gov - Mil - LE - Intelligence;DDoS;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Entertainment / News;Account Cracking;EU;3
Cybercrime;Entertainment / News;Unknown;EU;3
Cybercrime;Others;Unknown;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AS;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Entertainment / News;Vulnerabilities;EU;3
Cybercrime;Banking / Finance;Malware;AS;2
Cybercrime;Hospitability;Unknown;AM;3
Cybercrime;GDO / Retail;Unknown;AM;2
Information warfare;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;AS;1
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;1
Cybercrime;Multiple targets;Malware;AM;3
Espionage / Sabotage;Organization - ONG;Phishing / Social Engineering;AS;1
Cybercrime;Entertainment / News;Unknown;AM;3
Information warfare;Gov - Mil - LE - Intelligence;DDoS;EU;1
Cybercrime;Entertainment / News;Unknown;AM;3
Espionage / Sabotage;Critical Infrastructures;Malware;AS;2
Information warfare;Critical Infrastructures;Malware;EU;1
Cybercrime;Health;Unknown;AM;3
Cybercrime;Online Services / Cloud;Account Cracking;AM;3
Cybercrime;Critical Infrastructures;Unknown;AM;3
Cybercrime;Research - Education;SQLi;AM;2
Cybercrime;Gov - Mil - LE - Intelligence;SQLi;AM;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AS;1
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AS;1
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Organization - ONG;Malware;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Health;Unknown;AM;3
Hacktivism;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;GDO / Retail;Unknown;AM;3
Espionage / Sabotage;Multiple targets;Malware;EU;1
Cybercrime;Entertainment / News;SQLi;AM;2
Espionage / Sabotage;Critical Infrastructures;Multiple Threats / APT;EU;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Entertainment / News;Unknown;AM;3
Hacktivism;Critical Infrastructures;Vulnerabilities;AS;3
Cybercrime;SW / HW Vendor;Malware;AS;3
Cybercrime;SW / HW Vendor;Vulnerabilities;AM;3
