,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO
BTC,5,CCCAGG,BTC,USD,4,3874.59,1546196646,0.0644,252.61543999999998,9833475,36624.57206050141,140912186.88681802,55695.77530559982,215857061.82080865,3797.06,3925.18,3760.8,3906.26,4013.45,3758.48,Cexio,109.81884314,422653.4939552686,3874.02,3875.37,3869.98,-31.670000000000073,-0.8107499244801952,77.5300000000002,2.0418428995064652,17453237.0,67624137547.83,356157.2934068183,1380022255.240609
XRP,5,CCCAGG,XRP,USD,4,0.3696,1546196629,5435.0,2028.3419999999999,1754634,33855701.99436932,12476036.699386159,57420118.12248066,21364313.504011877,0.368,0.3759,0.3624,0.3749,0.3876,0.3618,Cexio,87255.17248694999,31796.627879850657,0.3702,0.3702,0.3694,-0.005300000000000027,-1.4137103227527412,0.0015999999999999903,0.43478260869564955,99991850794.0,36956988053.462395,821433882.3600477,303743800.76621664
ETH,5,CCCAGG,ETH,USD,4,139.62,1546196650,1.3e-07,1.84462022017e-05,328981104,674312.4701503242,92747854.19589965,1161938.8580606582,163155142.0267459,137.3,141.74,131.98,137.06,150.26,132.27,Bitfinex,1309.6730539200005,184321.26886497444,139.69,139.69,139.47,2.5600000000000023,1.8677951262220942,2.319999999999993,1.6897305171157995,104100426.6866,14534501573.983093,8887773.448606757,1241836167.5587924
XUC,5,CCCAGG,XUC,USD,2,2.201535,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,2.1931482,2.3007788,2.1582032,2.2211042,2.3007788,2.0729374,OKEX,0.0,0.0,2.2043306,2.2043306,2.201535,-0.019569200000000286,-0.8810572687224799,0.008386799999999806,0.38240917782025885,3000000000.0,6604604999.999999,59761.56389999965,131567.17458058574
BCH,5,CCCAGG,BCH,USD,4,161.8,1546196579,0.5,80.14,80815935,47614.550614817716,7708492.517816898,78187.95754623003,12869632.574548611,162.53,164.83,158.14,164.26,174.69,157.73,Bitstamp,45.5116398,7325.348641669401,161.83,161.87,161.67,-2.4599999999999795,-1.4976257153293435,-0.7299999999999898,-0.44914784962775467,17453208.5449739,2823929142.576777,977415.8045945347,158364698.2269643
EOS,5,CCCAGG,EOS,USD,4,2.69,1546196579,0.00371392,0.010004929088,328981002,3422605.8254981213,9147931.526494129,6036702.590617523,16561450.982190078,2.69,2.75,2.58,2.69,2.88,2.62,Bitfinex,22608.231805839994,60993.62289913598,2.7,2.71,2.69,0.0,0.0,0.0,0.0,1027044658.3005,2762750130.828345,196396229.15966296,528628577.4529222
XLM,5,CCCAGG,XLM,USD,4,0.1167,1546196414,154.0,18.4492,1055428,2596361.675285579,303714.2612968684,4056041.57370444,477588.9230200149,0.1166,0.1214,0.1141,0.1179,0.1217,0.1137,Cexio,154.0,18.4492,0.1166,0.1167,0.1166,-0.0012000000000000066,-1.0178117048346111,0.00010000000000000286,0.08576329331046559,19160774795.0,2236062418.5765,322153787.8340751,37599595.91160527
LTC,5,CCCAGG,LTC,USD,4,32.02,1546196649,10.05250347,317.1564844785,36010523,251675.04932577693,7954967.710095193,440383.5959226403,14116645.439468035,31.05,32.42,30.51,31.81,33.87,30.59,Coinbase,687.9684222700004,22164.971761552224,32.02,32.02,31.96,0.2100000000000044,0.6601697579377692,0.9700000000000024,3.123993558776175,59798876.6582174,1914760030.5961213,6375072.235927924,204145375.6924372
USDT,5,CCCAGG,USDT,USD,4,1.01,1546196512,9.15593415,9.21270094173,1546196512.0958,2149113.1363950702,2164346.2622190183,3042617.66516728,3066776.481088759,1.01,1.01,1.0,1.01,1.01,1.0,Kraken,9.15593415,9.21270094173,1.01,1.01,1.01,0.0,0.0,0.0,0.0,1858164808.0,1876746456.08,40648782.25678611,41049002.71862377
TRX,5,CCCAGG,TRX,USD,2,0.02039,1546196609,1167.64,23.857220480000002,328981056,5741188.615513252,115276.50678554401,9100730.794016812,185242.23975540636,0.02033,0.02087,0.01972,0.02021,0.02132,0.01988,Bitfinex,25217.64,519.2194204799999,0.02055,0.02055,0.02039,0.0001799999999999996,0.8906481939633827,5.9999999999997555e-05,0.2951303492375679,66633345306.0,1358653910.7893398,2166069989.216327,44165845.41898631
DCN,5,CCCAGG,DCN,USD,4,0.0001507896,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00013962,0.0001507896,0.0001382238,0.0001354314,0.0001507896,0.0001340352,HitBTC,0.0,0.0,0.0001507896,0.0001507896,0.0001507896,1.5358199999999998e-05,11.340206185567007,1.1169600000000016e-05,8.00000000000001,8000000000000.0,1206316800.0,230480851.19314373,34754.115359073665
BNB,5,CCCAGG,BNB,USD,4,6.09,1546196541,42.4167648,257.30387164137016,1489355,39698.34144855997,241762.6977454689,49104.979370960005,299005.179069922,6.09,6.1,6.07,6.09,6.09,6.08,P2PB2B,55.156642340000005,344.45717145585604,6.09,6.09,6.09,0.0,0.0,0.0,0.0,190799308.242499,1161967787.1968188,2896580.333153984,17640130.083608538
ADA,5,CCCAGG,ADA,USD,4,0.04301,1546196569,25000.0,1072.5749999999998,1546196569.3753,3702765.54430588,152934.81644840288,7277747.346920989,304789.82559298695,0.04077,0.04338,0.03962,0.04177,0.04479,0.03962,Kraken,25000.444444,1072.5949999799998,0.04324,0.04337,0.04301,0.001239999999999998,2.9686377783097866,0.002239999999999999,5.494235957812114,25927070538.0,1115123303.83938,707881620.0292722,30437762.389660913
IOT,5,CCCAGG,IOT,USD,1,0.3656,1546196616,482.55811374,176.4377231267562,328981070,4624288.613605523,1671382.6035640412,7779011.320225119,2842278.6015040097,0.3595,0.3695,0.3511,0.361,0.3821,0.3528,Bitfinex,23048.257962800002,8427.293171935304,0.3666,0.3666,0.3646,0.004599999999999993,1.2742382271468127,0.006099999999999994,1.696801112656466,2779530283.0,1016196271.4648,19554490.70675656,7147393.865219904
XMR,5,CCCAGG,XMR,USD,2,48.35,1546196653,4.72371025,230.59736327425,328981107,20395.709932519996,990493.1804840431,31596.813187739994,1544684.4029252066,47.99,49.72,47.54,49.07,51.23,47.66,Bitfinex,54.387316020000014,2654.5081214263996,48.29,48.37,48.23,-0.7199999999999989,-1.4672916242103093,0.35999999999999943,0.7501562825588652,16684039.683517,806673318.6980469,194698.61128503823,9430656.340929577
ERC20,5,CCCAGG,ERC20,USD,2,0.0570339648,1546196646,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0542830059,0.06586803000000001,0.0542830059,0.05660775990000001,0.06586803000000001,0.05424426,Kuna,0.0,0.0,0.0586612926,0.0586612926,0.0570339648,0.00042620489999999067,0.7529089664613112,0.002750958900000003,5.067808708065673,13000000000.0,741441542.4000001,3208752.5974089983,183007.8826925334
DASH,5,CCCAGG,DASH,USD,4,83.05,1546196458,1.0,83.105,328980724,22447.61976658999,1849083.8839916636,27727.936096910005,2289982.89976053,80.37,86.51,79.33,82.16,86.6,80.53,Bitfinex,4.616,384.08374161912,83.15,83.15,83.04,0.8900000000000006,1.0832521908471284,2.6799999999999926,3.3345775786985095,8534400.50230566,708781961.716485,608212.905644997,50499259.62072915
XEM,5,CCCAGG,XEM,USD,1,0.0703,1546196370,750.87,53.96352516,78685210,189394.77848739995,13103.108240577645,226820.61994489,15653.263633821534,0.06797,0.07359,0.066,0.06969,0.07185,0.0666,Exmo,750.87,53.96352516,0.0698,0.0703,0.0698,0.0006099999999999994,0.8753049217965266,0.0023299999999999987,3.427982933647195,8999999999.0,632699999.9297,42465400.09434714,2985025.4006843
SHND,5,CCCAGG,SHND,USD,4,3.8745e-05,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,3.8745e-05,3.8745e-05,3.8745e-05,3.8745e-05,3.8745e-05,3.8745e-05,CoinDeal,0.0,0.0,3.8745e-05,3.8745e-05,3.8745e-05,0.0,0.0,0.0,0.0,16007502464268.4,620210682.9780792,8339345331.143745,323107.93485516444
ETC,5,CCCAGG,ETC,USD,4,5.33,1546196651,2.09679571,10.945273606199999,1379038,379746.3920577883,2002942.1715763586,658533.7751226901,3495292.314601547,5.21,5.41,5.1,5.28,5.55,5.11,Coinbase,306.7359683399999,1613.1499201535,5.34,5.34,5.33,0.04999999999999982,0.9469696969696936,0.1200000000000001,2.303262955854129,107151846.0,571119339.1800001,15011897.066799011,79998718.65923633
HT,5,CCCAGG,HT,USD,2,1.112969,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,1.1227515,1.15084125,1.09633875,1.12484775,1.15112075,1.05441375,HuobiPro,0.0,0.0,1.112969,1.11338825,1.1126895,-0.011878749999999938,-1.056031805193186,-0.009782499999999805,-0.871296987801825,500000000.0,556484500.0,25850414.780730456,28770710.288094796
NEO,5,CCCAGG,NEO,USD,4,8.2,1546196451,4.0,32.806,328980719,182929.2995514701,1493845.5780174464,325972.73169029003,2688515.2896516835,8.09,8.46,7.86,7.95,8.65,7.95,Bitfinex,74.36,610.6296600000001,8.2,8.22,8.2,0.2499999999999991,3.1446540880503036,0.10999999999999943,1.3597033374536394,65000000.0,532999999.99999994,5606529.354166101,45989079.59395333
MKR,5,CCCAGG,MKR,USD,4,472.0508,1546196657,0.0,0.0,0,0.0,0.0,3.9282450300000002,1917.1191955954,477.6372,486.0168,459.4814,484.6202,484.6202,460.878,Bibox,0.0,0.0,467.861,473.4474,467.861,-12.56940000000003,-2.593659942363119,-5.586400000000026,-1.1695906432748593,1000000.0,472050800.0,152.3852017672331,71996.34438897167
QKC,5,CCCAGG,QKC,USD,1,0.040798485,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.040643505,0.041340915,0.03905496,0.03889998,0.041340915,0.038783745,Binance,0.0,0.0,0.04075974,0.040798485,0.04075974,0.0018985050000000017,4.880478087649406,0.000154979999999999,0.3813155386081958,10000000000.0,407984850.0,44388451.83169523,1810981.5862286405
KIN,5,CCCAGG,KIN,USD,4,3.77325e-05,1546196664,0.0,0.0,0,0.0,0.0,4249106.1652126005,122.81220955890721,3.77325e-05,3.77325e-05,3.77325e-05,3.77325e-05,3.913e-05,3.77325e-05,HitBTC,0.0,0.0,3.77325e-05,3.77325e-05,3.77325e-05,0.0,0.0,0.0,0.0,10000000000000.0,377325000.0,509388148.0,19182.971105590022
ONT,5,CCCAGG,ONT,USD,4,0.624574236,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.617600082,0.629998578,0.6098510220000001,0.6187624410000001,0.6361978260000001,0.609463569,OKEX,0.0,0.0,0.624574236,0.625349142,0.6237993300000001,0.005811794999999842,0.9392611145898302,0.006974153999999899,1.129234629861966,597000000.0,372870818.89199996,18430784.072868176,11511392.881192608
ZEC,5,CCCAGG,ZEC,USD,4,60.69,1546196619,3.0,182.832,328981077,15490.684271560027,942872.0823108096,23517.84958787,1457721.185053567,60.78,62.22,59.54,61.5,64.6,60.26,Bitfinex,11.880232,723.37157415917,61.06,61.06,60.69,-0.8100000000000023,-1.3170731707317112,-0.09000000000000341,-0.1480750246791764,5564268.75,337695470.4375,1463874.5912358817,88872971.8356714
ZRX,5,CCCAGG,ZRX,USD,4,0.3206,1546196669,127.42489,40.565204031940006,851978,1187221.7000058885,380358.3155118655,2538941.6988959797,830695.0304569073,0.3202,0.3264,0.316,0.3236,0.343,0.3173,Coinbase,6126.71337,1986.9074592132602,0.3205,0.3206,0.3205,-0.0030000000000000027,-0.9270704573547598,0.00040000000000001146,0.12492192379763008,1000000000.0,320600000.0,17627452.973070893,5668071.744957385
WAVES,5,CCCAGG,WAVES,USD,4,3.1088988,1546196671,0.0,0.0,0,0.0,0.0,1906.8269843100002,5559.8500015269,3.08526435,3.17437785,3.04496955,3.13563285,3.1972374,3.0314088,Binance,0.0,0.0,3.1065741,3.1119984,3.1042494,-0.026734049999999954,-0.852588656863955,0.023634449999999863,0.7660429486374437,100000000.0,310889880.0,4112741.209388525,12785727.928456733
