DATE;90dayTreasuryBill
01/02/2018;1.42
01/03/2018;1.39
01/04/2018;1.39
01/05/2018;1.37
01/08/2018;1.43
01/09/2018;1.42
01/10/2018;1.40
01/11/2018;1.41
01/12/2018;1.41
01/16/2018;1.43
01/17/2018;1.42
01/18/2018;1.43
01/19/2018;1.42
01/22/2018;1.43
01/23/2018;1.42
01/24/2018;1.41
01/25/2018;1.40
01/26/2018;1.39
01/29/2018;1.43
01/30/2018;1.42
01/31/2018;1.44
02/01/2018;1.46
02/02/2018;1.46
02/05/2018;1.49
02/06/2018;1.50
02/07/2018;1.53
02/08/2018;1.53
02/09/2018;1.53
02/12/2018;1.61
02/13/2018;1.57
02/14/2018;1.56
02/15/2018;1.56
02/16/2018;1.59
02/20/2018;1.64
02/21/2018;1.62
02/22/2018;1.61
02/23/2018;1.61
02/26/2018;1.65
02/27/2018;1.64
02/28/2018;1.63
03/01/2018;1.60
03/02/2018;1.62
03/05/2018;1.67
03/06/2018;1.65
03/07/2018;1.65
03/08/2018;1.64
03/09/2018;1.64
03/12/2018;1.68
03/13/2018;1.70
03/14/2018;1.73
03/15/2018;1.74
03/16/2018;1.75
03/19/2018;1.77
03/20/2018;1.78
03/21/2018;1.71
03/22/2018;1.69
03/23/2018;1.71
03/26/2018;1.76
03/27/2018;1.74
03/28/2018;1.70
03/29/2018;1.70
04/02/2018;1.74
04/03/2018;1.72
04/04/2018;1.68
04/05/2018;1.69
04/06/2018;1.70
04/09/2018;1.73
04/10/2018;1.71
04/11/2018;1.70
04/12/2018;1.72
04/13/2018;1.73
04/16/2018;1.76
04/17/2018;1.77
04/18/2018;1.78
04/19/2018;1.79
04/20/2018;1.78
04/23/2018;1.84
04/24/2018;1.84
04/25/2018;1.82
04/26/2018;1.79
04/27/2018;1.78
04/30/2018;1.84
05/01/2018;1.82
05/02/2018;1.81
05/03/2018;1.80
05/04/2018;1.80
05/07/2018;1.83
05/08/2018;1.84
05/09/2018;1.85
05/10/2018;1.86
05/11/2018;1.88
05/14/2018;1.90
05/15/2018;1.89
05/16/2018;1.88
05/17/2018;1.88
05/18/2018;1.87
05/21/2018;1.90
05/22/2018;1.90
05/23/2018;1.88
05/24/2018;1.87
05/25/2018;1.86
05/29/2018;1.90
05/30/2018;1.90
05/31/2018;1.89
06/01/2018;1.88
06/04/2018;1.91
06/05/2018;1.91
06/06/2018;1.91
06/07/2018;1.90
06/08/2018;1.89
06/11/2018;1.91
06/12/2018;1.89
06/13/2018;1.90
06/14/2018;1.90
06/15/2018;1.90
06/18/2018;1.91
06/19/2018;1.91
06/20/2018;1.90
06/21/2018;1.90
06/22/2018;1.89
06/25/2018;1.90
06/26/2018;1.90
06/27/2018;1.89
06/28/2018;1.89
06/29/2018;1.89
07/02/2018;1.95
07/03/2018;1.94
07/05/2018;1.92
07/06/2018;1.93
07/09/2018;1.95
07/10/2018;1.95
07/11/2018;1.93
07/12/2018;1.94
07/13/2018;1.94
07/16/2018;1.98
07/17/2018;1.98
07/18/2018;1.96
07/19/2018;1.96
07/20/2018;1.95
07/23/2018;1.96
07/24/2018;1.98
07/25/2018;1.97
07/26/2018;1.95
07/27/2018;1.96
07/30/2018;2.01
07/31/2018;1.99
08/01/2018;1.99
08/02/2018;1.98
08/03/2018;1.97
08/06/2018;2.02
08/07/2018;2.02
08/08/2018;2.02
08/09/2018;2.02
08/10/2018;2.01
08/13/2018;2.03
08/14/2018;2.04
08/15/2018;2.03
08/16/2018;2.03
08/17/2018;2.01
08/20/2018;2.03
08/21/2018;2.04
08/22/2018;2.05
08/23/2018;2.04
08/24/2018;2.05
08/27/2018;2.08
08/28/2018;2.09
08/29/2018;2.09
08/30/2018;2.07
08/31/2018;2.07
09/04/2018;2.09
09/05/2018;2.10
09/06/2018;2.09
09/07/2018;2.10
09/10/2018;2.11
09/11/2018;2.11
09/12/2018;2.12
09/13/2018;2.11
09/14/2018;2.12
09/17/2018;2.13
09/18/2018;2.13
09/19/2018;2.12
09/20/2018;2.13
09/21/2018;2.14
09/24/2018;2.18
09/25/2018;2.17
09/26/2018;2.16
09/27/2018;2.14
09/28/2018;2.15
10/01/2018;2.19
10/02/2018;2.19
10/03/2018;2.19
10/04/2018;2.18
10/05/2018;2.18
10/09/2018;2.21
10/10/2018;2.23
10/11/2018;2.22
10/12/2018;2.23
10/15/2018;2.27
10/16/2018;2.26
10/17/2018;2.27
10/18/2018;2.27
10/19/2018;2.26
10/22/2018;2.30
10/23/2018;2.29
10/24/2018;2.29
10/25/2018;2.29
10/26/2018;2.28
10/29/2018;2.30
10/30/2018;2.29
10/31/2018;2.29
11/01/2018;2.27
11/02/2018;2.28
11/05/2018;2.32
11/06/2018;2.31
11/07/2018;2.32
11/08/2018;2.30
11/09/2018;2.31
11/13/2018;2.34
11/14/2018;2.33
11/15/2018;2.32
11/16/2018;2.31
11/19/2018;2.34
11/20/2018;2.34
11/21/2018;2.36
11/23/2018;2.36
11/26/2018;2.37
11/27/2018;2.36
11/28/2018;2.35
11/29/2018;2.32
11/30/2018;2.32
12/03/2018;2.34
12/04/2018;2.38
12/06/2018;2.36
12/07/2018;2.35
12/10/2018;2.37
12/11/2018;2.37
12/12/2018;2.39
12/13/2018;2.38
12/14/2018;2.37
12/17/2018;2.36
12/18/2018;2.34
12/19/2018;2.35
12/20/2018;2.34
12/21/2018;2.34
12/24/2018;2.41
12/26/2018;2.39
12/27/2018;2.36
12/28/2018;2.35
12/31/2018;2.40
