"","Algorithm","ProofType","PercVolume","PercMKCaP","ClassSharpeR","ClassBeta","DecAge","Kmeans","HistDAWass","TADPole","Combi"
"Algorithm",0,0.000124984376952881,0.000124984376952881,0.000124984376952881,0.0966129233845769,0.337457817772778,0.093363329583802,0.652543432070991,0.703787026621672,0.890763654543182,0.996500437445319
"ProofType",0.000124984376952881,0,0.000249968753905762,0.000124984376952881,0.0496187976502937,0.272090988626422,0.157855268091489,0.179727534058243,0.361704786901637,0.529308836395451,0.857892763404574
"PercVolume",0.000124984376952881,0.000249968753905762,0,0.000124984376952881,0.537057867766529,0.000124984376952881,0.000124984376952881,0.000124984376952881,0.000124984376952881,0.188976377952756,0.000124984376952881
"PercMKCaP",0.000124984376952881,0.000124984376952881,0.000124984376952881,0,0.00424946881639795,0.000124984376952881,0.000124984376952881,0.000374953130858643,0.000249968753905762,0.966879140107487,0.000124984376952881
"ClassSharpeR",0.0966129233845769,0.0496187976502937,0.537057867766529,0.00424946881639795,0,0.449193850768654,0.287839020122485,0.132608423947007,0.571678540182477,0.000124984376952881,0.00137482814648169
"ClassBeta",0.337457817772778,0.272090988626422,0.000124984376952881,0.000124984376952881,0.449193850768654,0,0.000124984376952881,0.000124984376952881,0.000124984376952881,0.58092738407699,0.000124984376952881
"DecAge",0.093363329583802,0.157855268091489,0.000124984376952881,0.000124984376952881,0.287839020122485,0.000124984376952881,0,0.000499937507811524,0.000124984376952881,0.453068366454193,0.000124984376952881
"Kmeans",0.652543432070991,0.179727534058243,0.000124984376952881,0.000374953130858643,0.132608423947007,0.000124984376952881,0.000499937507811524,0,0.000124984376952881,0.345706786651669,0.000124984376952881
"HistDAWass",0.703787026621672,0.361704786901637,0.000124984376952881,0.000249968753905762,0.571678540182477,0.000124984376952881,0.000124984376952881,0.000124984376952881,0,0.607174103237095,0.000124984376952881
"TADPole",0.890763654543182,0.529308836395451,0.188976377952756,0.966879140107487,0.000124984376952881,0.58092738407699,0.453068366454193,0.345706786651669,0.607174103237095,0,0.000124984376952881
"Combi",0.996500437445319,0.857892763404574,0.000124984376952881,0.000124984376952881,0.00137482814648169,0.000124984376952881,0.000124984376952881,0.000124984376952881,0.000124984376952881,0.000124984376952881,0
