                    PercMKCaP
ProofType                    P70         P80         P90         P99        P100
  DPoR                -1.3598069   2.8295748  -0.3637839  -0.3434473  -0.1348390
  DPoS                -1.6930543  -0.3076871  -0.3626128   1.6386433   3.9135148
  DPoS/LPoS            1.0412775  -0.5004060  -0.5146771  -0.4859051  -0.1907685
  dPoW/PoW            -1.3598069  -0.3536968  -0.3637839   2.9140182  -0.1348390
  LFT                 -1.3598069  -0.3536968  -0.3637839   2.9140182  -0.1348390
  LPoS                -1.3598069  -0.3536968  -0.3637839  -0.3434473   7.4222729
  N/A                -14.1453267   6.3417992   6.9027819   7.9310168   0.8037857
  PoA                  0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoB/PoS              0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  POBh                -1.3598069   2.8295748  -0.3637839  -0.3434473  -0.1348390
  PoC                 -2.3571686  -0.6131188   2.9690952   1.2868754  -0.2337378
  PoI                 -1.3598069  -0.3536968  -0.3637839  -0.3434473   7.4222729
  PoP                  0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoP/PoV/PoQ          0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoPP                -1.3598069  -0.3536968  -0.3637839   2.9140182  -0.1348390
  PoS                  3.7352840  -1.7680214  -0.7634032  -2.8201156  -0.8769177
  PoS/LPoS            -1.3598069  -0.3536968  -0.3637839   2.9140182  -0.1348390
  PoS/PoB              0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoS/PoW              0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoS/PoW/PoT          0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoSign               0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoST                 0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoW                  4.5423827  -2.3886884  -1.6934871  -3.1177289   0.6332248
  PoW and PoS         -1.3598069   2.8295748  -0.3637839  -0.3434473  -0.1348390
  PoW/HiPoS            0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoW/nPoS            -1.3598069  -0.3536968  -0.3637839   2.9140182  -0.1348390
  PoW/PoM/PoSII        0.7359955  -0.3536968  -0.3637839  -0.3434473  -0.1348390
  PoW/PoS              9.0929888  -3.3826666  -4.6852374  -4.7233159  -2.4325898
  PoW/PoS             -0.4412804  -0.5004060  -0.5146771   1.8184063  -0.1907685
  Pow/PoSC            -1.3598069   2.8295748  -0.3637839  -0.3434473  -0.1348390
  PoWT                -1.3598069   2.8295748  -0.3637839  -0.3434473  -0.1348390
  Proof of Authority  -1.3598069  -0.3536968  -0.3637839   2.9140182  -0.1348390
