""	"SYM"	"MKCapRate"	"acumul"	"ClaseMKCaProxy"
"1"	"BTC"	0.460809379791603	0.460809379791603	"AC"
"2"	"ETH"	0.165632399552532	0.626441779344135	"AC"
"3"	"EOS"	0.0400851012936174	0.666526880637753	"AC"
"4"	"BCH"	0.035396348854544	0.701923229492297	"AC"
"5"	"XRP"	0.0337926007331825	0.735715830225479	"AC"
"6"	"LTC"	0.0283309643167271	0.764046794542206	"AC"
"7"	"ICX"	0.0125804440005814	0.776627238542788	"AC"
"8"	"HSR"	0.0114792493324326	0.78810648787522	"AC"
"9"	"ETC"	0.010541066078656	0.798647553953876	"AC"
"10"	"IOT"	0.00945451513918597	0.808102069093062	"BC"
"11"	"QTUM"	0.00727326152856687	0.815375330621629	"BC"
"12"	"NEO"	0.00700900313289292	0.822384333754522	"BC"
"13"	"LSK"	0.00571758292899033	0.828101916683512	"BC"
"14"	"XVG"	0.00568419728988822	0.833786113973401	"BC"
"15"	"BTM*"	0.00528604964120959	0.83907216361461	"BC"
"16"	"MCO"	0.00501243701864983	0.84408460063326	"BC"
"17"	"XMR"	0.00441590031657469	0.848500500949835	"BC"
"18"	"ZEC"	0.00427806639615334	0.852778567345988	"BC"
"19"	"DASH"	0.00356147528271847	0.856340042628706	"BC"
"20"	"SC"	0.00343060250947506	0.859770645138181	"BC"
"21"	"STRAT"	0.00328625693014153	0.863056902068323	"BC"
"22"	"BCN"	0.00300972192196496	0.866066623990288	"BC"
"23"	"SNT"	0.00300545634942587	0.869072080339714	"BC"
"24"	"ARN"	0.00278338048560483	0.871855460825319	"BC"
"25"	"WTC"	0.00267897747701109	0.87453443830233	"BC"
"26"	"GNT"	0.00266866578682431	0.877203104089154	"BC"
"27"	"NAS"	0.00263755470967181	0.879840658798826	"BC"
"28"	"DGB"	0.00261059218850499	0.882451250987331	"BC"
"29"	"XLM"	0.00236971996654954	0.88482097095388	"BC"
"30"	"BCD"	0.00236446451070641	0.887185435464587	"BC"
"31"	"BAT"	0.00231161531178574	0.889497050776373	"BC"
"32"	"RDD"	0.00223528507504316	0.891732335851416	"BC"
"33"	"MANA"	0.00220964138600795	0.893941977237424	"BC"
"34"	"GVT"	0.00217238228993771	0.896114359527361	"BC"
"35"	"CVC"	0.0021195617472543	0.898233921274616	"BC"
"36"	"NULS"	0.00204117455444436	0.90027509582906	"BC"
"37"	"SALT"	0.00193708660530711	0.902212182434367	"BC"
"38"	"GXS"	0.00190994355672778	0.904122125991095	"BC"
"39"	"ENG"	0.00188200490828317	0.906004130899378	"BC"
"40"	"POWR"	0.00183817027251724	0.907842301171895	"BC"
"41"	"KNC"	0.00181277019160898	0.909655071363504	"BC"
"42"	"SWFTC"	0.00179898100551827	0.911454052369023	"BC"
"43"	"RCN"	0.00175831112898093	0.913212363498003	"BC"
"44"	"PAY"	0.00175336948947624	0.91496573298748	"BC"
"45"	"VIB"	0.00174113421817692	0.916706867205657	"BC"
"46"	"MTL"	0.00171948882269318	0.91842635602835	"BC"
"47"	"OMG"	0.00171265918364227	0.920139015211992	"BC"
"48"	"USDT"	0.00168840878908082	0.921827424001073	"BC"
"49"	"SRN"	0.00159480590423718	0.92342222990531	"BC"
"50"	"GAS"	0.00151523736643342	0.924937467271744	"BC"
"51"	"LINK"	0.00146318777632626	0.92640065504807	"BC"
"52"	"XDN"	0.00140476258206299	0.927805417630133	"BC"
"53"	"STEEM"	0.00137647126661423	0.929181888896747	"BC"
"54"	"ADX"	0.00137282299897869	0.930554711895726	"BC"
"55"	"OCN"	0.00135371414074852	0.931908426036474	"BC"
"56"	"NXT"	0.00134918628750276	0.933257612323977	"BC"
"57"	"ARDR"	0.00133022932195505	0.934587841645932	"BC"
"58"	"LUN"	0.00130436952824247	0.935892211174175	"BC"
"59"	"DCR"	0.00118995013667563	0.93708216131085	"BC"
"60"	"BTG"	0.00118904582635033	0.9382712071372	"BC"
"61"	"SUB"	0.00112093970172881	0.939392146838929	"BC"
"62"	"BCPT"	0.00110543672467933	0.940497583563609	"BC"
"63"	"PPT"	0.00109793229619245	0.941595515859801	"BC"
"64"	"STORJ"	0.00104089960923822	0.942636415469039	"BC"
"65"	"POE"	0.00101143048458476	0.943647845953624	"BC"
"66"	"NXS"	0.000942480463455488	0.94459032641708	"BC"
"67"	"AE"	0.000938595719491463	0.945528922136571	"BC"
"68"	"WINGS"	0.000924956111904952	0.946453878248476	"BC"
"69"	"FCT"	0.000903164368303412	0.947357042616779	"BC"
"70"	"MAID"	0.000894363423589904	0.948251406040369	"BC"
"71"	"SYS"	0.00089067395239735	0.949142079992767	"BC"
"72"	"ENJ"	0.000887539815167128	0.950029619807934	"BC"
"73"	"KMD"	0.000884788326023883	0.950914408133958	"BC"
"74"	"LRC"	0.000877146844845314	0.951791554978803	"BC"
"75"	"DNT"	0.00084573393088318	0.952637288909686	"BC"
"76"	"ARK"	0.000835622834357311	0.953472911744043	"BC"
"77"	"BITUSD"	0.000832783316109321	0.954305695060153	"BC"
"78"	"STORM"	0.000818050186164307	0.955123745246317	"BC"
"79"	"QASH"	0.000793239153956866	0.955916984400274	"BC"
"80"	"XZC"	0.000780279381403187	0.956697263781677	"BC"
"81"	"ZEN"	0.00077359102766742	0.957470854809345	"BC"
"82"	"PIVX"	0.000772355949002634	0.958243210758347	"BC"
"83"	"R"	0.000763459378829678	0.959006670137177	"BC"
"84"	"ETP"	0.000752871927202568	0.959759542064379	"BC"
"85"	"FUN"	0.000732377375154772	0.960491919439534	"BC"
"86"	"TRX"	0.00072822337353769	0.961220142813072	"BC"
"87"	"NAV"	0.000706458096737104	0.961926600909809	"BC"
"88"	"AST"	0.000701692825146054	0.962628293734955	"BC"
"89"	"PRO"	0.000689260921818143	0.963317554656773	"BC"
"90"	"BNT"	0.000688001367922181	0.964005556024695	"BC"
"91"	"MDA"	0.000684936901222601	0.964690492925918	"BC"
"92"	"QSP"	0.00067749154450193	0.96536798447042	"BC"
"93"	"REQ"	0.000652384955596897	0.966020369426017	"BC"
"94"	"GUP"	0.000649583535261476	0.966669952961278	"BC"
"95"	"DGD"	0.000621643303884514	0.967291596265163	"BC"
"96"	"EMC"	0.0006126805043382	0.967904276769501	"BC"
"97"	"RLC"	0.000588085839196375	0.968492362608697	"BC"
"98"	"ADA"	0.000563432515227214	0.969055795123925	"BC"
"99"	"GRS"	0.00055890255857407	0.969614697682499	"BC"
"100"	"YOYOW"	0.000556704308588662	0.970171401991087	"BC"
"101"	"VTC"	0.000532232127138879	0.970703634118226	"BC"
"102"	"ORME"	0.00052721286372877	0.971230846981955	"BC"
"103"	"ZCL"	0.00052494345061075	0.971755790432566	"BC"
"104"	"SNM"	0.000516421364379118	0.972272211796945	"BC"
"105"	"NEBL"	0.000514496170224117	0.972786707967169	"BC"
"106"	"LEND"	0.000513480598680968	0.97330018856585	"BC"
"107"	"TNT"	0.000510297665840473	0.97381048623169	"BC"
"108"	"FUEL"	0.000495477719798656	0.974305963951489	"BC"
"109"	"CND"	0.0004696761504673	0.974775640101956	"BC"
"110"	"VIA"	0.000468887742620742	0.975244527844577	"BC"
"111"	"ZRX"	0.00045323886910536	0.975697766713682	"BC"
"112"	"CLOAK"	0.000452526368887019	0.97615029308257	"BC"
"113"	"VIBE"	0.000451236627438793	0.976601529710008	"BC"
"114"	"TRIG"	0.000444970495098757	0.977046500205107	"BC"
"115"	"PART"	0.000441040035360227	0.977487540240467	"BC"
"116"	"SNC"	0.000435330781201855	0.977922871021669	"BC"
"117"	"BITB"	0.000429861392911895	0.978352732414581	"BC"
"118"	"WABI"	0.000419262374694868	0.978771994789276	"BC"
"119"	"MTH"	0.000412656509800621	0.979184651299077	"BC"
"120"	"SLS"	0.000401870787293756	0.97958652208637	"BC"
"121"	"MONA"	0.000395099067221361	0.979981621153592	"BC"
"122"	"ADT"	0.000394042240503836	0.980375663394095	"BC"
"123"	"ETN"	0.000393428742380527	0.980769092136476	"BC"
"124"	"BURST"	0.000385570373661302	0.981154662510137	"BC"
"125"	"EMC2"	0.000373606433312307	0.98152826894345	"BC"
"126"	"EVX"	0.000362150046456771	0.981890418989906	"BC"
"127"	"PST"	0.000360471923093244	0.982250890913	"BC"
"128"	"AMB"	0.00035305662488144	0.982603947537881	"BC"
"129"	"GBYTE"	0.000352105927755969	0.982956053465637	"BC"
"130"	"SNGLS"	0.000328725819077183	0.983284779284714	"BC"
"131"	"LBC"	0.000326612853873588	0.983611392138588	"BC"
"132"	"OAX"	0.000325944839216023	0.983937336977804	"BC"
"133"	"CHAT"	0.000324844344212576	0.984262181322016	"BC"
"134"	"DLT"	0.000322818608044659	0.984584999930061	"BC"
"135"	"GAME"	0.000317957728199948	0.984902957658261	"BC"
"136"	"AMP"	0.000298564901369328	0.98520152255963	"BC"
"137"	"POLY"	0.000297751317155798	0.985499273876786	"BC"
"138"	"NMR"	0.000293863342805373	0.985793137219591	"BC"
