Date,CRIX
09/13/2017,10679.09454
09/14/2017,8414.229044
09/15/2017,9689.39634
09/16/2017,9692.35801
09/17/2017,9534.629771
09/18/2017,10885.06266
09/19/2017,10707.75546
09/20/2017,10617.02311
09/21/2017,9921.039778
09/22/2017,9819.529171
09/23/2017,10486.47192
09/24/2017,10614.3014
09/25/2017,10998.04874
09/26/2017,10782.65852
09/27/2017,11366.70984
09/28/2017,11058.24492
09/29/2017,10962.45445
09/30/2017,11351.10731
10/01/2017,11446.25358
10/02/2017,11443.18063
10/03/2017,11269.10546
10/04/2017,11097.64041
10/05/2017,11261.46929
10/06/2017,11471.4909
10/07/2017,11611.42932
10/08/2017,11894.59466
10/09/2017,11895.33619
10/10/2017,12025.67707
10/11/2017,12130.89593
10/12/2017,12843.38558
10/13/2017,13656.60741
10/14/2017,13755.63413
10/15/2017,13778.89211
10/16/2017,13787.9659
10/17/2017,13508.31173
10/18/2017,13334.0485
10/19/2017,13392.08601
10/20/2017,13681.07088
10/21/2017,13776.53292
10/22/2017,13661.53782
10/23/2017,13498.83297
10/24/2017,13060.16602
10/25/2017,13269.61142
10/26/2017,13499.62767
10/27/2017,13401.49457
10/28/2017,13384.0713
10/29/2017,14120.67111
10/30/2017,14128.95835
10/31/2017,14449.91273
11/01/2017,14869.46128
11/02/2017,15414.63154
11/03/2017,15880.48926
11/04/2017,15970.58528
11/05/2017,16013.31679
11/06/2017,15659.3479
11/07/2017,15772.90539
11/08/2017,16507.90108
11/09/2017,16446.62962
11/10/2017,15757.68675
11/11/2017,16115.4187
11/12/2017,15572.37612
11/13/2017,16177.24516
11/14/2017,16735.34732
11/15/2017,17597.77305
11/16/2017,17895.23672
11/17/2017,18354.36197
11/18/2017,18695.30912
11/19/2017,18905.10396
11/20/2017,19465.44935
11/21/2017,19168.40772
11/22/2017,19878.16303
11/23/2017,20410.34226
11/24/2017,21194.79377
11/25/2017,21905.81003
11/26/2017,22919.62122
11/27/2017,23907.72668
11/28/2017,24760.17497
11/29/2017,22897.33783
11/30/2017,24251.7514
12/01/2017,25927.54245
12/02/2017,25874.83554
12/03/2017,26167.41196
12/04/2017,27655.83851
12/05/2017,28773.2363
12/06/2017,30382.40255
12/07/2017,37055.04575
12/08/2017,35770.83609
12/09/2017,33264.96143
12/10/2017,33368.48
12/11/2017,36621.45502
12/12/2017,39636.24926
12/13/2017,39402.84099
12/14/2017,41990.06991
12/15/2017,43101.33917
12/16/2017,46296.36243
12/17/2017,46807.97194
12/18/2017,48795.65841
12/19/2017,49205.10296
12/20/2017,48494.25505
12/21/2017,47949.28581
12/22/2017,40537.65707
12/23/2017,44805.40925
12/24/2017,42768.68179
12/25/2017,42875.22529
12/26/2017,47440.63791
12/27/2017,47111.28421
12/28/2017,44592.60315
12/29/2017,48048.23896
12/30/2017,44812.19088
12/31/2017,48365.44489
01/01/2018,47588.09681
01/02/2018,51843.04291
01/03/2018,56888.01301
01/04/2018,58500.8183
01/05/2018,58899.68348
01/06/2018,62895.25939
01/07/2018,62848.82399
01/08/2018,57504.48488
01/09/2018,57166.86602
01/10/2018,56403.97559
01/11/2018,51050.86457
01/12/2018,55542.84586
01/13/2018,57821.91428
01/14/2018,54769.62015
01/15/2018,52535.52603
01/16/2018,40778.26805
01/17/2018,40692.53904
01/18/2018,42348.09815
01/19/2018,42675.47842
01/20/2018,47623.77815
01/21/2018,41822.08255
01/22/2018,39294.88978
01/23/2018,39023.13863
01/24/2018,40651.45077
01/25/2018,40621.42797
01/26/2018,39776.82789
01/27/2018,41243.26254
01/28/2018,43686.10855
01/29/2018,41566.84607
01/30/2018,41288.77912
01/31/2018,36777.1191
02/01/2018,37667.68313
02/02/2018,33370.50543
02/03/2018,31452.83534
02/04/2018,32465.31762
02/05/2018,29516.75724
02/06/2018,24039.06858
02/07/2018,27411.28287
02/08/2018,26497.8278
02/09/2018,28990.84918
02/10/2018,31198.67834
02/11/2018,31282.48985
02/12/2018,29718.34312
02/13/2018,32006.79571
02/14/2018,30889.20396
02/15/2018,34142.12374
02/16/2018,35447.94334
02/17/2018,35814.37807
02/18/2018,37914.44971
02/19/2018,35841.86338
02/20/2018,37130.18792
02/21/2018,36983.0935
02/22/2018,36690.59834
02/23/2018,32399.78765
02/24/2018,33774.23807
02/25/2018,32015.47341
02/26/2018,32282.40118
02/27/2018,33724.08675
02/28/2018,34345.64498
03/01/2018,33050.14601
03/02/2018,34186.74082
03/03/2018,34373.0474
03/04/2018,34542.5149
03/05/2018,34851.2297
03/06/2018,34946.61018
03/07/2018,32911.62332
03/08/2018,30696.70095
03/09/2018,28823.83893
03/10/2018,28802.07962
03/11/2018,27605.30285
03/12/2018,29277.38383
03/13/2018,28409.14445
03/14/2018,28246.69759
03/15/2018,25265.76598
03/16/2018,25339.2001
03/17/2018,25576.65807
03/18/2018,23938.24955
03/19/2018,24013.64324
03/20/2018,25557.1946
03/21/2018,26146.83332
03/22/2018,26253.72355
03/23/2018,25434.69966
03/24/2018,25480.90994
03/25/2018,24925.72827
03/26/2018,24673.69199
03/27/2018,23470.5622
03/28/2018,22292.8564
03/29/2018,22405.46443
03/30/2018,19945.99544
03/31/2018,19662.32317
04/01/2018,19758.65729
04/02/2018,19179.86259
04/03/2018,19836.73083
04/04/2018,21186.73729
04/05/2018,19325.09202
04/06/2018,19441.45843
04/07/2018,18693.65941
04/08/2018,19339.46774
04/09/2018,19728.02934
04/10/2018,19371.72905
04/11/2018,19614.47594
04/12/2018,20358.72617
04/13/2018,22991.21312
04/14/2018,22979.6367
04/15/2018,23117.80423
04/16/2018,24411.88024
04/17/2018,23830.16875
04/18/2018,23530.92459
04/19/2018,24779.08693
04/20/2018,26061.92158
04/21/2018,27597.5128
04/22/2018,28026.61972
04/23/2018,28062.72042
04/24/2018,28951.205
04/25/2018,31671.65866
04/26/2018,28205.37682
04/27/2018,29977.15552
04/28/2018,29147.5142
04/29/2018,30639.1297
04/30/2018,31331.35692
05/01/2018,30253.64684
05/02/2018,30191.75528
05/03/2018,30722.88554
05/04/2018,32510.02033
05/05/2018,32491.57092
05/06/2018,33430.97631
05/07/2018,32750.57607
05/08/2018,31565.56798
05/09/2018,31027.32244
05/10/2018,31102.09306
05/11/2018,29828.90734
05/12/2018,27634.15668
05/13/2018,28148.73795
05/14/2018,29243.11465
05/15/2018,29115.71744
05/16/2018,27983.7833
05/17/2018,27690.04233
05/18/2018,26429.30847
05/19/2018,27044.56321
05/20/2018,26892.88316
05/21/2018,27934.04266
05/22/2018,27440.87567
05/23/2018,25891.09714
05/24/2018,23995.07506
05/25/2018,24609.51746
05/26/2018,24066.49875
05/27/2018,23795.06782
05/28/2018,23590.06629
05/29/2018,22109.11795
05/30/2018,23686.37178
05/31/2018,23494.87395
06/01/2018,23939.0156
06/02/2018,24106.17392
06/03/2018,24731.1309
06/04/2018,25325.67832
06/05/2018,24493.39897
06/06/2018,24998.55928
06/07/2018,24957.96713
06/08/2018,24958.91739
06/09/2018,24714.61062
06/10/2018,24224.50338
06/11/2018,21757.76606
06/12/2018,22163.66605
06/13/2018,20841.71742
06/14/2018,20003.55753
06/15/2018,21256.30235
06/16/2018,20281.32228
06/17/2018,20490.38231
06/18/2018,20305.87702
06/19/2018,21134.4935
06/20/2018,21450.24732
06/21/2018,21321.10834
06/22/2018,21149.42438
06/23/2018,19016.68159
06/24/2018,19236.5515
06/25/2018,18858.89815
06/26/2018,19117.31872
06/27/2018,18228.69407
06/28/2018,18541.36339
06/29/2018,17714.35831
06/30/2018,18483.00886
07/01/2018,19112.83607
07/02/2018,18985.64819
07/03/2018,20023.71424
07/04/2018,19672.02393
07/05/2018,19886.29039
07/06/2018,19752.80234
07/07/2018,19789.17462
07/08/2018,20270.65502
07/09/2018,20111.70291
07/10/2018,19712.33827
07/11/2018,18513.14303
07/12/2018,18798.72259
07/13/2018,18278.50638
07/14/2018,18453.04859
07/15/2018,18489.57333
07/16/2018,18938.15797
07/17/2018,20293.19577
07/18/2018,21602.36098
07/19/2018,21362.00122
07/20/2018,21373.8021
07/21/2018,20596.57879
07/22/2018,20934.1194
07/23/2018,20890.96163
07/24/2018,21237.08262
07/25/2018,22831.83629
07/26/2018,22322.25324
07/27/2018,21774.81724
07/28/2018,22222.07994
07/29/2018,22284.0277
07/30/2018,22294.20274
07/31/2018,22028.87432
08/01/2018,20869.60012
08/02/2018,20549.67333
08/03/2018,20165.15865
08/04/2018,20085.63202
08/05/2018,19189.28253
08/06/2018,19356.84451
08/07/2018,19023.26395
08/08/2018,18144.30801
08/09/2018,16714.54837
08/10/2018,17390.08309
08/11/2018,16289.25141
08/12/2018,16038.80728
08/13/2018,16251.41589
08/14/2018,15653.08681
08/15/2018,15362.86834
08/16/2018,15524.88732
08/17/2018,15697.19747
08/18/2018,16967.81322
08/19/2018,16163.36842
08/20/2018,16490.42022
08/21/2018,15590.52386
08/22/2018,16155.20331
08/23/2018,15694.29401
08/24/2018,16149.06637
08/25/2018,16487.33695
08/26/2018,16548.53651
08/27/2018,16396.71376
08/28/2018,17061.22576
08/29/2018,17667.36745
08/30/2018,17460.66265
08/31/2018,17305.06928
09/01/2018,17365.23616
09/02/2018,18033.71848
09/03/2018,18148.82
09/04/2018,17966.99808
09/05/2018,18108.51437
09/06/2018,16071.19151
09/07/2018,15703.78812
09/08/2018,15310.5933
09/09/2018,14633.34072
09/10/2018,14813.7792
09/11/2018,14811.99627
09/12/2018,14590.48596
09/13/2018,14640.07858
09/14/2018,15344.5202
09/15/2018,15305.56352
09/16/2018,15492.95958
09/17/2018,15424.56382
09/18/2018,14609.68244
09/19/2018,15159.08314
09/20/2018,15220.42365
09/21/2018,16144.94289
09/22/2018,17374.73891
09/23/2018,17260.44804
09/24/2018,17339.02752
09/25/2018,16555.7978
09/26/2018,16294.42558
